Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG X;50;49'34.0255;None;None;None;150
2;None;5;Марк Винтерботтом;None;Ford Falcon FG X;50;49'39.6361;5.6106;5.6106;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;50;49'42.9852;8.9597;3.3491;None;129
4;None;14;Тим Слейд;None;Holden Commodore ZB;50;49'44.0430;10.0175;1.0578;None;120
5;None;888;Крэг Лаундес;None;Holden Commodore ZB;50;49'47.4864;13.4609;3.4434;None;111
6;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;50;49'48.9434;14.9179;1.4570;None;102
7;None;400;Уилл Дэвисон;None;Ford Falcon FG X;50;49'49.0187;14.9932;0.0753;None;96
8;None;12;Фабиан Култхард;None;Ford Falcon FG X;50;49'49.8577;15.8322;0.8390;None;90
9;None;8;Ник Перкат;None;Holden Commodore ZB;50;49'51.9879;17.9624;2.1302;None;84
10;None;55;Час Мостер;None;Ford Falcon FG X;50;49'52.3586;18.3331;0.3707;None;78
11;None;1;Джейми Уинкап;None;Holden Commodore ZB;50;49'52.9944;18.9689;0.6358;None;72
12;None;2;Скотт Пай;None;Holden Commodore ZB;50;49'54.9787;20.9532;1.9843;None;69
13;None;25;Джеймс Кортни;None;Holden Commodore ZB;50;49'56.4580;22.4325;1.4793;None;66
14;None;15;Рик Келли;None;Nissan Altima;50;49'59.4511;25.4256;2.9931;None;63
15;None;78;Симона де Сильвестро;None;Nissan Altima;50;49'59.5857;25.5602;0.1346;None;60
16;None;19;Джек ЛеБрок;None;Holden Commodore ZB;50;50'02.3748;28.3493;2.7891;None;57
17;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;50;50'04.5583;30.5328;2.1835;None;54
18;None;99;Антон де Паскуале;None;Holden Commodore ZB;50;50'04.8922;30.8667;0.3339;None;51
19;None;33;Гарт Тандер;None;Holden Commodore ZB;50;50'07.7361;33.7106;2.8439;None;48
20;None;23;Майкл Карузо;None;Nissan Altima;50;50'10.5111;36.4856;2.7750;None;45
21;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;50;50'13.6397;39.6142;3.1286;None;42
22;None;34;Джеймс Голдинг;None;Holden Commodore ZB;50;50'14.9695;40.9440;1.3298;None;39
23;None;18;Ли Холдсуорт;None;Holden Commodore ZB;50;50'26.4223;52.3968;11.4528;None;36
24;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;50;50'30.4077;56.3822;3.9854;None;33
25;None;7;Андре Хаймгартнер;None;Nissan Altima;49;49'34.9403;1 Lap;1 Lap;None;30
None;nc;21;Тим Бланкард;None;Holden Commodore ZB;48;48'39.2213;2 Laps;1 Lap;None;None
