Номер;Гонщик;None;Команда;Машина;Мотор;Шины
1;Джейми Уинкап Пол Дамбрелл;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
2;Скотт Пай Уоррен Лафф;None;Mobil 1 Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
5;Марк Винтерботтом Дин Кэнто;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
6;Кэмерон Уотерс Дэвид Расселл;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
7;Андре Хаймгартнер Аарен Рассел;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
8;Ник Перкат Маколи Джонс;None;Blackwoods Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Люк Юлден Дэвид Рейнольдс;None;Erebus Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
11;Рик Келли Гарри Джекобсон;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
12;Фабиан Култхард Тони Д'Альберто;None;DJR Team Penske;Ford Falcon FG X;Ford V8-5;Dunlop
14;Тим Слейд Эш Уолш;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
17;Скотт Маклафлин Александр Према;None;DJR Team Penske;Ford Falcon FG X;Ford V8-5;Dunlop
18;Ли Холдсуорт Джейсон Брайт;None;Team 18;Holden Commodore ZB;Holden V8-5;Dunlop
19;Джек ЛеБрок Джонатон Уэбб;None;Tekno Autosports;Holden Commodore ZB;Holden V8-5;Dunlop
21;Тим Бланкард Дейл Вуд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
23;Майкл Карузо Дин Фьоре;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
25;Джеймс Кортни Джек Перкинс;None;Mobil 1 Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
33;Гарт Тандер Крис Питер;None;Garry Rogers Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
34;Джеймс Голдинг Ричард Маскат;None;Garry Rogers Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
35;Тодд Хазелвуд Брайс Фуллвуд;None;Bigmate Racing;Ford Falcon FG X;Ford V8-5;Dunlop
55;Час Мостер Джеймс Моффат;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
56;Ричи Стэнэвей Steven Owen;None;Tickford Racing;Ford Falcon FG X;Ford V8-5;Dunlop
78;Симона де Сильвестро Алекс Рулло;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
97;Шейн ван Гисберген Эрл Бамбер;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
99;Антон де Паскуале Уилл Браун;None;Erebus Motorsport Penrite;Holden Commodore ZB;Holden V8-5;Dunlop
230;Уилл Дэвисон Алекс Дэвисон;None;Milwaukee Racing;Ford Falcon FG X;Ford V8-5;Dunlop
888;Крэг Лаундес Стив Ричардс;None;Autobarn Lowndes Racing;Holden Commodore ZB;Holden V8-5;Dunlop
