Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
None;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;148;2'06.2919;0.1427;0.1427;177.103
None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;139;2'06.3908;0.2416;0.0044;176.965
None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;61;2'07.2985;1.1493;0.1795;175.703
None;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;130;2'06.7245;0.5753;0.0464;176.499
None;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;121;2'07.0706;0.9214;0.0859;176.018
None;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;127;2'06.6781;0.5289;0.0722;176.564
None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;100;2'06.7526;0.6034;0.0281;176.460
None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;152;2'07.5586;1.4094;0.1280;175.345
None;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;157;2'07.1190;0.9698;0.0484;175.951
None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;121;2'06.4118;0.2626;0.0210;176.936
None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;151;2'06.9847;0.8355;0.0495;176.137
None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;75;2'07.6103;1.4611;0.0517;175.274
None;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;75;2'07.7499;1.6007;0.0094;175.082
None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;62;2'07.7991;1.6499;0.0197;175.015
None;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;131;2'06.9352;0.7860;0.0985;176.206
None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;125;2'06.8367;0.6875;0.0841;176.343
None;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;120;2'08.1443;1.9951;0.3452;174.543
None;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;123;2'06.5354;0.3862;0.1236;176.763
None;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;63;2'07.7405;1.5913;0.1302;175.095
None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;65;2'07.4306;1.2814;0.1321;175.521
None;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;153;2'06.3122;0.1630;0.0203;177.075
None;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;137;2'07.7794;1.6302;0.0295;175.042
None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;103;2'06.3864;0.2372;0.0742;176.971
None;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;103;2'06.1492;None;None;177.304
None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;136;2'06.6059;0.4567;0.0705;176.664
