Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;18;2'35.1824;None;None;144.132
2;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;6;2'35.8261;0.6437;0.6437;143.536
3;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;4;2'35.9012;0.7188;0.0751;143.467
4;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;9;2'36.6303;1.4479;0.7291;142.799
5;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;14;2'36.7785;1.5961;0.1482;142.664
6;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;8;2'36.7801;1.5977;0.0016;142.663
7;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;11;2'37.2193;2.0369;0.4392;142.264
8;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;13;2'37.6523;2.4699;0.4330;141.874
9;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;5;2'37.7972;2.6148;0.1449;141.743
10;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;6;2'37.8112;2.6288;0.0140;141.731
11;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;13;2'38.2487;3.0663;0.4375;141.339
12;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;16;2'38.9721;3.7897;0.7234;140.696
13;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;6;2'39.2353;4.0529;0.2632;140.463
14;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;7;2'39.3210;4.1386;0.0857;140.388
15;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;5;2'39.3438;4.1614;0.0228;140.368
16;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;15;2'39.6485;4.4661;0.3047;140.100
17;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;5;2'39.6732;4.4908;0.0247;140.078
18;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;6;2'40.2984;5.1160;0.6252;139.532
19;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;4;2'40.3159;5.1335;0.0175;139.517
20;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;2;2'40.6292;5.4468;0.3133;139.244
21;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;9;2'40.6679;5.4855;0.0387;139.211
22;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;10;2'42.0631;6.8807;1.3952;138.012
23;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;4;2'50.5328;15.3504;8.4697;131.158
