Позиция;#;Гонщик;None;Машина;Время;км/ч
1;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;2'04.0588;180.291
2;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;2'04.0682;180.278
3;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;2'04.3498;179.870
4;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;2'04.5385;179.597
5;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;2'04.5494;179.581
6;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;2'04.7517;179.290
7;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;2'04.7673;179.268
8;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;2'05.0033;178.929
9;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;2'05.0835;178.814
10;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;2'05.1717;178.688
11;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;2'04.9133;179.058
12;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;2'04.9719;178.974
13;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;2'05.0357;178.883
14;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;2'05.0644;178.842
15;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;2'05.1789;178.678
16;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;2'05.3195;178.478
17;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;2'05.4607;178.277
18;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;2'05.4655;178.270
19;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;2'05.5106;178.206
20;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;2'05.5656;178.128
21;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;2'05.7075;177.927
22;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;2'05.8433;177.735
23;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;2'06.0375;177.461
24;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;2'06.0429;177.453
25;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;2'06.1324;177.327
26;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;2'06.4374;176.900
