Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;13;2'04.1093;None;None;180.218
2;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;13;2'04.2647;0.1554;0.1554;179.993
3;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;12;2'04.2861;0.1768;0.0214;179.962
4;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;14;2'04.3818;0.2725;0.0957;179.823
5;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;14;2'04.4759;0.3666;0.0941;179.687
6;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;12;2'04.5702;0.4609;0.0943;179.551
7;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;15;2'04.5794;0.4701;0.0092;179.538
8;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;13;2'04.6380;0.5287;0.0586;179.454
9;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;14;2'04.6942;0.5849;0.0562;179.373
10;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;15;2'04.8567;0.7474;0.1625;179.139
11;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;14;2'04.9133;0.8040;0.0566;179.058
12;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;15;2'04.9719;0.8626;0.0586;178.974
13;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;16;2'05.0357;0.9264;0.0638;178.883
14;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;14;2'05.0644;0.9551;0.0287;178.842
15;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;13;2'05.1789;1.0696;0.1145;178.678
16;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;12;2'05.3195;1.2102;0.1406;178.478
17;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;14;2'05.4607;1.3514;0.1412;178.277
18;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;14;2'05.4655;1.3562;0.0048;178.270
19;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;13;2'05.5106;1.4013;0.0451;178.206
20;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;12;2'05.5656;1.4563;0.0550;178.128
21;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;9;2'05.7075;1.5982;0.1419;177.927
22;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;13;2'05.8433;1.7340;0.1358;177.735
23;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;15;2'06.0375;1.9282;0.1942;177.461
24;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;14;2'06.0429;1.9336;0.0054;177.453
25;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;11;2'06.1324;2.0231;0.0895;177.327
26;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;14;2'06.4374;2.3281;0.3050;176.900
