Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;161;-;None;None;None;None
2;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;161;6.2920;6.292;6.292;None;None
3;None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;161;9.4081;9.408;3.116;None;None
4;None;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;161;10.2530;10.253;0.845;None;None
5;None;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;161;27.4209;27.421;17.168;None;None
6;None;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;161;30.0098;30.010;2.589;None;None
7;None;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;161;36.5424;36.542;6.533;None;None
8;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;161;37.2325;37.233;0.690;None;None
9;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;161;47.1120;47.112;9.880;None;None
10;None;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;161;56.4334;56.433;9.321;None;None
11;None;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;161;1'19.0739;1'19.074;22.641;None;None
12;None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;161;1'35.0093;1'35.009;15.935;None;None
13;None;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;161;1'39.1046;1'39.105;4.095;None;None
14;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;161;1'47.7762;1'47.776;8.672;None;None
15;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;161;1'52.3973;1'52.397;4.621;None;None
16;None;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;161;1'54.8234;1'54.823;2.426;None;None
17;None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;160;1 lap;1 Lap;1 Lap;None;None
18;None;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;159;2 laps;2 Laps;1 Lap;None;None
19;None;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;159;2 laps;2 Laps;0.000;None;None
20;None;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;159;2 laps;2 Laps;0.000;None;None
21;None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;157;4 laps;4 Laps;2 Laps;None;None
22;None;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;152;9 laps;9 Laps;5 Laps;None;None
23;None;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;148;13 laps;13 Laps;4 Laps;None;None
24;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;143;18 laps;18 Laps;5 Laps;None;None
None;None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;69;None;None;None;Сход;None
None;None;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;33;None;None;None;Сход;None
