Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;1;2'04.0588;None;None;180.291
2;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;1;2'04.0682;0.0094;0.0094;180.278
3;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;1;2'04.3498;0.2910;0.2816;179.870
4;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;1;2'04.5385;0.4797;0.1887;179.597
5;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;1;2'04.5494;0.4906;0.0109;179.581
6;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;1;2'04.7517;0.6929;0.2023;179.290
7;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;1;2'04.7673;0.7085;0.0156;179.268
8;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;1;2'05.0033;0.9445;0.2360;178.929
9;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;1;2'05.0835;1.0247;0.0802;178.814
10;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;1;2'05.1717;1.1129;0.0882;178.688
