Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;9;2'04.9633;None;None;178.986
2;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;9;2'05.1596;0.1963;0.1963;178.706
3;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;8;2'05.2910;0.3277;0.1314;178.518
4;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;9;2'05.4201;0.4568;0.1291;178.335
5;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;8;2'05.5547;0.5914;0.1346;178.143
6;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;9;2'05.5635;0.6002;0.0088;178.131
7;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;9;2'05.6621;0.6988;0.0986;177.991
8;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;4;2'05.7330;0.7697;0.0709;177.891
9;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;9;2'05.7475;0.7842;0.0145;177.870
10;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;9;2'05.7656;0.8023;0.0181;177.845
11;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;9;2'05.9448;0.9815;0.1792;177.592
12;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;8;2'06.0250;1.0617;0.0802;177.479
13;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;8;2'06.0602;1.0969;0.0352;177.429
14;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;9;2'06.4885;1.5252;0.4283;176.828
15;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;9;2'06.5430;1.5797;0.0545;176.752
16;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;8;2'06.6414;1.6781;0.0984;176.615
17;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;8;2'06.8007;1.8374;0.1593;176.393
18;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;9;2'06.8284;1.8651;0.0277;176.354
19;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;8;2'06.9278;1.9645;0.0994;176.216
20;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;9;2'07.1898;2.2265;0.2620;175.853
21;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;8;2'07.2741;2.3108;0.0843;175.737
22;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;8;2'07.3312;2.3679;0.0571;175.658
23;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;8;2'07.3726;2.4093;0.0414;175.601
24;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;7;2'07.6536;2.6903;0.2810;175.214
25;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;7;2'07.8041;2.8408;0.1505;175.008
26;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;8;2'08.1480;3.1847;0.3439;174.538
