Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
None;1;Джейми Уинкап;None;Holden Commodore ZB;23;1'09.8087;0.1496;0.0289;160.896
None;2;Скотт Пай;None;Holden Commodore ZB;24;1'10.2023;0.5432;0.0356;159.994
None;5;Марк Винтерботтом;None;Ford Falcon FG X;24;1'10.1408;0.4817;0.0025;160.135
None;6;Кэмерон Уотерс;None;Ford Falcon FG X;20;1'10.2772;0.6181;0.0359;159.824
None;7;Андре Хаймгартнер;None;Nissan Altima;21;1'10.0376;0.3785;0.0126;160.371
None;8;Ник Перкат;None;Holden Commodore ZB;18;1'10.4099;0.7508;0.1033;159.523
None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;16;1'10.2413;0.5822;0.0243;159.905
None;12;Фабиан Култхард;None;Ford Falcon FG X;16;1'10.0250;0.3659;0.0175;160.399
None;14;Тим Слейд;None;Holden Commodore ZB;25;1'10.3066;0.6475;0.0010;159.757
None;15;Рик Келли;None;Nissan Altima;26;1'10.4585;0.7994;0.0486;159.412
None;17;Скотт Маклафлин;None;Ford Falcon FG X;2;1'10.2046;0.5455;0.0023;159.989
None;18;Ли Холдсуорт;None;Holden Commodore ZB;26;1'10.1383;0.4792;0.1007;160.140
None;19;Джек ЛеБрок;None;Holden Commodore ZB;26;1'10.1667;0.5076;0.0259;160.075
None;21;Тим Бланкард;None;Holden Commodore ZB;20;1'10.5542;0.8951;0.0014;159.196
None;23;Майкл Карузо;None;Nissan Altima;19;1'09.9742;0.3151;0.0219;160.516
None;25;Джеймс Кортни;None;Holden Commodore ZB;21;1'09.6591;None;None;161.242
None;33;Гарт Тандер;None;Holden Commodore ZB;24;1'10.2170;0.5579;0.0124;159.961
None;34;Джеймс Голдинг;None;Holden Commodore ZB;18;1'10.0075;0.3484;0.0333;160.439
None;35;Тодд Хазелвуд;None;Ford Falcon FG X;20;1'10.5528;0.8937;0.0521;159.199
None;55;Час Мостер;None;Ford Falcon FG X;10;1'09.9523;0.2932;0.0548;160.566
None;56;Ричи Стэнэвей;None;Ford Falcon FG X;19;1'09.7798;0.1207;0.0102;160.963
None;78;Симона де Сильвестро;None;Nissan Altima;21;1'10.5007;0.8416;0.0403;159.317
None;97;Шейн ван Гисберген;None;Holden Commodore ZB;16;1'09.7696;0.1105;0.1105;160.987
None;99;Антон де Паскуале;None;Holden Commodore ZB;20;1'10.3056;0.6465;0.0284;159.759
None;120;Уилл Дэвисон;None;Ford Falcon FG X;30;1'09.8975;0.2384;0.0466;160.692
None;888;Крэг Лаундес;None;Holden Commodore ZB;13;1'09.8509;0.1918;0.0422;160.799
None;42;Курт Костеки;None;Holden Commodore ZB;22;1'10.4604;0.8013;0.0019;159.408
