Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'08.4899;163.994
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'08.5382;163.879
3;55;Час Мостер;None;Ford Falcon FG X;1'08.5973;163.738
4;12;Фабиан Култхард;None;Ford Falcon FG X;1'08.6350;163.648
5;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'08.7112;163.466
6;15;Рик Келли;None;Nissan Altima;1'08.7582;163.355
7;1;Джейми Уинкап;None;Holden Commodore ZB;1'08.8165;163.216
8;888;Крэг Лаундес;None;Holden Commodore ZB;1'08.8357;163.171
9;23;Майкл Карузо;None;Nissan Altima;1'08.8516;163.133
10;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'08.8552;163.124
11;33;Гарт Тандер;None;Holden Commodore ZB;1'08.9076;163.000
12;19;Джек ЛеБрок;None;Holden Commodore ZB;1'08.9102;162.994
13;120;Уилл Дэвисон;None;Ford Falcon FG X;1'08.9196;162.972
14;7;Андре Хаймгартнер;None;Nissan Altima;1'08.9381;162.928
15;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'08.9766;162.837
16;5;Марк Винтерботтом;None;Ford Falcon FG X;1'08.9799;162.830
17;78;Симона де Сильвестро;None;Nissan Altima;1'08.9931;162.798
18;25;Джеймс Кортни;None;Holden Commodore ZB;1'09.0438;162.679
19;14;Тим Слейд;None;Holden Commodore ZB;1'09.0605;162.640
20;2;Скотт Пай;None;Holden Commodore ZB;1'09.0969;162.554
21;18;Ли Холдсуорт;None;Holden Commodore ZB;1'09.1551;162.417
22;34;Джеймс Голдинг;None;Holden Commodore ZB;1'09.1684;162.386
23;99;Антон де Паскуале;None;Holden Commodore ZB;1'09.2684;162.151
24;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'09.4135;161.812
25;8;Ник Перкат;None;Holden Commodore ZB;1'09.4184;161.801
26;42;Курт Костеки;None;Holden Commodore ZB;1'09.5348;161.530
27;21;Тим Бланкард;None;Holden Commodore ZB;1'09.5702;161.448
