Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;18;1'10.4756;None;None;132.811
2;1;Джейми Уинкап;None;Holden Commodore ZB;19;1'10.5626;0.0870;0.0870;132.648
3;100;Кэмерон Уотерс;None;Ford Falcon FG X;13;1'10.6473;0.1717;0.0847;132.489
4;12;Фабиан Култхард;None;Ford Falcon FG X;17;1'10.7861;0.3105;0.1388;132.229
5;25;Джеймс Кортни;None;Holden Commodore ZB;18;1'10.8220;0.3464;0.0359;132.162
6;8;Ник Перкат;None;Holden Commodore ZB;16;1'10.8332;0.3576;0.0112;132.141
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;18;1'10.8342;0.3586;0.0010;132.139
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;19;1'10.8478;0.3722;0.0136;132.114
9;2;Скотт Пай;None;Holden Commodore ZB;18;1'10.8506;0.3750;0.0028;132.108
10;99;Антон де Паскуале;None;Holden Commodore ZB;19;1'10.8570;0.3814;0.0064;132.097
11;18;Ли Холдсуорт;None;Holden Commodore ZB;21;1'10.8899;0.4143;0.0329;132.035
12;888;Крэг Лаундес;None;Holden Commodore ZB;19;1'10.8929;0.4173;0.0030;132.030
13;55;Час Мостер;None;Ford Falcon FG X;23;1'10.9098;0.4342;0.0169;131.998
14;7;Андре Хаймгартнер;None;Nissan Altima;23;1'10.9944;0.5188;0.0846;131.841
15;5;Марк Винтерботтом;None;Ford Falcon FG X;14;1'11.0010;0.5254;0.0066;131.829
16;78;Симона де Сильвестро;None;Nissan Altima;16;1'11.0815;0.6059;0.0805;131.679
17;14;Тим Слейд;None;Holden Commodore ZB;20;1'11.0951;0.6195;0.0136;131.654
18;23;Майкл Карузо;None;Nissan Altima;14;1'11.1056;0.6300;0.0105;131.635
19;33;Гарт Тандер;None;Holden Commodore ZB;18;1'11.1316;0.6560;0.0260;131.587
20;15;Рик Келли;None;Nissan Altima;16;1'11.1489;0.6733;0.0173;131.555
21;21;Тим Бланкард;None;Holden Commodore ZB;19;1'11.1767;0.7011;0.0278;131.503
22;230;Уилл Дэвисон;None;Ford Falcon FG X;17;1'11.2167;0.7411;0.0400;131.429
23;19;Джек ЛеБрок;None;Holden Commodore ZB;18;1'11.3493;0.8737;0.1326;131.185
24;56;Ричи Стэнэвей;None;Ford Falcon FG X;15;1'11.3786;0.9030;0.0293;131.131
25;34;Джеймс Голдинг;None;Holden Commodore ZB;19;1'11.4255;0.9499;0.0469;131.045
26;35;Тодд Хазелвуд;None;Ford Falcon FG X;20;1'11.4627;0.9871;0.0372;130.977
