Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'10.6430;132.497
2;1;Джейми Уинкап;None;Holden Commodore ZB;1'10.6597;132.465
3;17;Скотт Маклафлин;None;Ford Falcon FG X;1'10.7142;132.363
4;12;Фабиан Култхард;None;Ford Falcon FG X;1'10.7693;132.260
5;18;Ли Холдсуорт;None;Holden Commodore ZB;1'10.7693;132.260
6;99;Антон де Паскуале;None;Holden Commodore ZB;1'10.7912;132.219
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'10.7951;132.212
8;25;Джеймс Кортни;None;Holden Commodore ZB;1'10.8657;132.080
9;888;Крэг Лаундес;None;Holden Commodore ZB;1'10.9953;131.839
10;8;Ник Перкат;None;Holden Commodore ZB;1'11.0437;131.749
11;15;Рик Келли;None;Nissan Altima;1'11.0613;131.717
12;2;Скотт Пай;None;Holden Commodore ZB;1'11.0776;131.687
13;21;Тим Бланкард;None;Holden Commodore ZB;1'11.0836;131.675
14;14;Тим Слейд;None;Holden Commodore ZB;1'11.1472;131.558
15;19;Джек ЛеБрок;None;Holden Commodore ZB;1'11.1898;131.479
16;55;Час Мостер;None;Ford Falcon FG X;1'11.2607;131.348
17;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'11.2628;131.344
18;78;Симона де Сильвестро;None;Nissan Altima;1'11.2810;131.311
19;100;Кэмерон Уотерс;None;Ford Falcon FG X;1'11.2328;131.400
20;23;Майкл Карузо;None;Nissan Altima;1'11.3061;131.265
21;34;Джеймс Голдинг;None;Holden Commodore ZB;1'11.3536;131.177
22;5;Марк Винтерботтом;None;Ford Falcon FG X;1'11.3835;131.122
23;33;Гарт Тандер;None;Holden Commodore ZB;1'11.3843;131.121
24;230;Уилл Дэвисон;None;Ford Falcon FG X;1'11.4685;130.966
25;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'11.4809;130.944
26;7;Андре Хаймгартнер;None;Nissan Altima;1'11.4826;130.940
