Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1;1'10.5470;None;None;132.677
2;17;Скотт Маклафлин;None;Ford Falcon FG X;1;1'10.5676;0.0206;0.0206;132.638
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1;1'10.7770;0.2300;0.2094;132.246
4;33;Гарт Тандер;None;Holden Commodore ZB;1;1'10.8562;0.3092;0.0792;132.098
5;18;Ли Холдсуорт;None;Holden Commodore ZB;1;1'10.8696;0.3226;0.0134;132.073
6;25;Джеймс Кортни;None;Holden Commodore ZB;1;1'10.9358;0.3888;0.0662;131.950
7;1;Джейми Уинкап;None;Holden Commodore ZB;1;1'10.9897;0.4427;0.0539;131.850
8;14;Тим Слейд;None;Holden Commodore ZB;1;1'11.0330;0.4860;0.0433;131.769
9;7;Андре Хаймгартнер;None;Nissan Altima;1;1'11.2823;0.7353;0.2493;131.308
10;12;Фабиан Култхард;None;Ford Falcon FG X;1;1'11.3670;0.8200;0.0847;131.153
