Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
None;1;Джейми Уинкап;None;Holden Commodore ZB;4;1'03.7993;0.5259;0.0110;164.202
None;2;Скотт Пай;None;Holden Commodore ZB;37;1'03.9874;0.7140;0.0988;163.719
None;5;Марк Винтерботтом;None;Ford Falcon FG X;16;1'04.1220;0.8486;0.0015;163.376
None;6;Кэмерон Уотерс;None;Ford Falcon FG X;5;1'03.9990;0.7256;0.0116;163.690
None;7;Андре Хаймгартнер;None;Nissan Altima;15;1'04.0087;0.7353;0.0097;163.665
None;8;Ник Перкат;None;Holden Commodore ZB;4;1'03.8886;0.6152;0.0025;163.972
None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;4;1'03.7883;0.5149;0.0821;164.230
None;12;Фабиан Култхард;None;Ford Falcon FG X;2;1'04.0618;0.7884;0.0531;163.529
None;14;Тим Слейд;None;Holden Commodore ZB;4;1'03.8861;0.6127;0.0868;163.979
None;15;Рик Келли;None;Nissan Altima;16;1'04.2526;0.9792;0.0038;163.043
None;17;Скотт Маклафлин;None;Ford Falcon FG X;2;1'03.2734;None;None;165.567
None;18;Ли Холдсуорт;None;Holden Commodore ZB;15;1'04.2088;0.9354;0.0010;163.155
None;19;Джек ЛеБрок;None;Holden Commodore ZB;2;1'04.1205;0.8471;0.0034;163.379
None;21;Тим Бланкард;None;Holden Commodore ZB;15;1'04.2766;1.0032;0.0219;162.983
None;23;Майкл Карузо;None;Nissan Altima;15;1'04.1171;0.8437;0.0553;163.388
None;25;Джеймс Кортни;None;Holden Commodore ZB;16;1'03.6963;0.4229;0.1074;164.467
None;33;Гарт Тандер;None;Holden Commodore ZB;39;1'04.2488;0.9754;0.0400;163.053
None;34;Джеймс Голдинг;None;Holden Commodore ZB;40;1'04.2078;0.9344;0.0817;163.157
None;35;Тодд Хазелвуд;None;Ford Falcon FG X;15;1'04.6027;1.3293;0.3047;162.160
None;55;Час Мостер;None;Ford Falcon FG X;3;1'03.7062;0.4328;0.0099;164.442
None;56;Ричи Стэнэвей;None;Ford Falcon FG X;45;1'04.1261;0.8527;0.0041;163.365
None;78;Симона де Сильвестро;None;Nissan Altima;16;1'04.2980;1.0246;0.0039;162.928
None;97;Шейн ван Гисберген;None;Holden Commodore ZB;4;1'03.5823;0.3089;0.3089;164.762
None;99;Антон де Паскуале;None;Holden Commodore ZB;4;1'04.2547;0.9813;0.0021;163.038
None;230;Уилл Дэвисон;None;Ford Falcon FG X;16;1'04.2941;1.0207;0.0175;162.938
None;888;Крэг Лаундес;None;Holden Commodore ZB;2;1'03.5889;0.3155;0.0066;164.745
