Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;20;1'03.1150;None;None;165.982
2;888;Крэг Лаундес;None;Holden Commodore ZB;18;1'03.1980;0.0830;0.0830;165.764
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;24;1'03.2271;0.1121;0.0291;165.688
4;1;Джейми Уинкап;None;Holden Commodore ZB;18;1'03.2371;0.1221;0.0100;165.662
5;12;Фабиан Култхард;None;Ford Falcon FG X;12;1'03.2553;0.1403;0.0182;165.614
6;18;Ли Холдсуорт;None;Holden Commodore ZB;15;1'03.2882;0.1732;0.0329;165.528
7;8;Ник Перкат;None;Holden Commodore ZB;17;1'03.2904;0.1754;0.0022;165.522
8;23;Майкл Карузо;None;Nissan Altima;15;1'03.2905;0.1755;0.0001;165.522
9;2;Скотт Пай;None;Holden Commodore ZB;20;1'03.3020;0.1870;0.0115;165.492
10;15;Рик Келли;None;Nissan Altima;17;1'03.4248;0.3098;0.1228;165.171
11;9;Дэвид Рейнольдс;None;Holden Commodore ZB;18;1'03.4318;0.3168;0.0070;165.153
12;5;Марк Винтерботтом;None;Ford Falcon FG X;13;1'03.4568;0.3418;0.0250;165.088
13;55;Час Мостер;None;Ford Falcon FG X;19;1'03.5286;0.4136;0.0718;164.902
14;14;Тим Слейд;None;Holden Commodore ZB;23;1'03.5444;0.4294;0.0158;164.861
15;6;Кэмерон Уотерс;None;Ford Falcon FG X;14;1'03.5970;0.4820;0.0526;164.724
16;25;Джеймс Кортни;None;Holden Commodore ZB;15;1'03.6811;0.5661;0.0841;164.507
17;21;Тим Бланкард;None;Holden Commodore ZB;20;1'03.7303;0.6153;0.0492;164.380
18;99;Антон де Паскуале;None;Holden Commodore ZB;16;1'03.7708;0.6558;0.0405;164.275
19;230;Уилл Дэвисон;None;Ford Falcon FG X;17;1'03.7772;0.6622;0.0064;164.259
20;33;Гарт Тандер;None;Holden Commodore ZB;19;1'03.8353;0.7203;0.0581;164.109
21;78;Симона де Сильвестро;None;Nissan Altima;21;1'03.9376;0.8226;0.1023;163.847
22;7;Андре Хаймгартнер;None;Nissan Altima;23;1'03.9825;0.8675;0.0449;163.732
23;56;Ричи Стэнэвей;None;Ford Falcon FG X;20;1'04.0862;0.9712;0.1037;163.467
24;34;Джеймс Голдинг;None;Holden Commodore ZB;27;1'04.2287;1.1137;0.1425;163.104
25;19;Джек ЛеБрок;None;Holden Commodore ZB;24;1'04.2681;1.1531;0.0394;163.004
26;35;Тодд Хазелвуд;None;Ford Falcon FG X;19;1'04.3608;1.2458;0.0000;162.769
