Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'02.5708;167.426
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'02.6880;167.113
3;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'02.8110;166.786
4;55;Час Мостер;None;Ford Falcon FG X;1'02.9312;166.467
5;1;Джейми Уинкап;None;Holden Commodore ZB;1'02.9870;166.320
6;8;Ник Перкат;None;Holden Commodore ZB;1'02.9996;166.286
7;14;Тим Слейд;None;Holden Commodore ZB;1'03.0003;166.284
8;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'03.0482;166.158
9;15;Рик Келли;None;Nissan Altima;1'03.0848;166.062
10;99;Антон де Паскуале;None;Holden Commodore ZB;1'03.1172;165.976
11;7;Андре Хаймгартнер;None;Nissan Altima;1'03.1510;165.888
12;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'03.1612;165.861
13;18;Ли Холдсуорт;None;Holden Commodore ZB;1'03.1622;165.858
14;5;Марк Винтерботтом;None;Ford Falcon FG X;1'03.1907;165.783
15;25;Джеймс Кортни;None;Holden Commodore ZB;1'03.2107;165.731
16;2;Скотт Пай;None;Holden Commodore ZB;1'03.2199;165.707
17;23;Майкл Карузо;None;Nissan Altima;1'03.3233;165.436
18;888;Крэг Лаундес;None;Holden Commodore ZB;1'03.3532;165.358
19;12;Фабиан Култхард;None;Ford Falcon FG X;1'03.4380;165.137
20;33;Гарт Тандер;None;Holden Commodore ZB;1'03.4982;164.981
21;19;Джек ЛеБрок;None;Holden Commodore ZB;1'03.5281;164.903
22;230;Уилл Дэвисон;None;Ford Falcon FG X;1'03.5733;164.786
23;21;Тим Бланкард;None;Holden Commodore ZB;1'03.5979;164.722
24;34;Джеймс Голдинг;None;Holden Commodore ZB;1'03.6204;164.664
25;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'03.6413;164.610
26;78;Симона де Сильвестро;None;Nissan Altima;1'03.6477;164.593
