Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;1;1'02.4719;None;None;167.691
2;17;Скотт Маклафлин;None;Ford Falcon FG X;1;1'02.4877;0.0158;0.0158;167.648
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1;1'02.6060;0.1341;0.1183;167.332
4;55;Час Мостер;None;Ford Falcon FG X;1;1'02.6550;0.1831;0.0490;167.201
5;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1;1'02.6659;0.1940;0.0109;167.172
6;12;Фабиан Култхард;None;Ford Falcon FG X;1;1'02.7454;0.2735;0.0795;166.960
7;56;Ричи Стэнэвей;None;Ford Falcon FG X;1;1'02.7961;0.3242;0.0507;166.825
8;99;Антон де Паскуале;None;Holden Commodore ZB;1;1'02.9044;0.4325;0.1083;166.538
9;6;Кэмерон Уотерс;None;Ford Falcon FG X;1;1'02.9873;0.5154;0.0829;166.319
10;7;Андре Хаймгартнер;None;Nissan Altima;1;1'03.4281;0.9562;0.4408;165.163
