Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;19;1'11.1204;None;None;149.830
2;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;19;1'11.4147;0.2943;0.2943;149.212
3;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;19;1'11.4244;0.3040;0.0097;149.192
4;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;17;1'11.5103;0.3899;0.0859;149.013
5;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;18;1'11.5348;0.4144;0.0245;148.962
6;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;21;1'11.5444;0.4240;0.0096;148.942
7;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;16;1'11.5991;0.4787;0.0547;148.828
8;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;16;1'11.6979;0.5775;0.0988;148.623
9;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;17;1'11.7097;0.5893;0.0118;148.599
10;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;23;1'11.7675;0.6471;0.0578;148.479
11;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;21;1'11.7803;0.6599;0.0128;148.452
12;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;16;1'11.7806;0.6602;0.0003;148.452
13;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;23;1'11.7940;0.6736;0.0134;148.424
14;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;19;1'11.9134;0.7930;0.1194;148.178
15;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;19;1'12.1135;0.9931;0.2001;147.767
16;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;16;1'12.1211;1.0007;0.0076;147.751
17;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;18;1'12.2081;1.0877;0.0870;147.573
18;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;21;1'12.2129;1.0925;0.0048;147.563
19;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;17;1'12.2230;1.1026;0.0101;147.543
20;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;9;1'12.3575;1.2371;0.1345;147.268
21;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;16;1'12.4003;1.2799;0.0428;147.181
22;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;17;1'12.5779;1.4575;0.1776;146.821
23;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;5;1'12.6353;1.5149;0.0574;146.705
24;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;20;1'12.8242;1.7038;0.1889;146.324
25;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;19;1'13.5417;2.4213;0.7175;144.897
