Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;6;1'10.1937;None;None;151.808
2;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;10;1'10.3264;0.1327;0.1327;151.522
3;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;11;1'10.4444;0.2507;0.1180;151.268
4;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;9;1'10.6652;0.4715;0.2208;150.795
5;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;12;1'10.7396;0.5459;0.0744;150.636
6;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;12;1'10.7582;0.5645;0.0186;150.597
7;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;10;1'10.7701;0.5764;0.0119;150.572
8;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;11;1'10.7749;0.5812;0.0048;150.561
9;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;9;1'10.8803;0.6866;0.1054;150.337
10;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;12;1'10.9815;0.7878;0.1012;150.123
11;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;8;1'10.9846;0.7909;0.0031;150.117
12;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;10;1'10.9944;0.8007;0.0098;150.096
13;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;9;1'10.9963;0.8026;0.0019;150.092
14;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;11;1'11.0109;0.8172;0.0146;150.061
15;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;12;1'11.0146;0.8209;0.0037;150.053
16;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;11;1'11.1140;0.9203;0.0994;149.843
17;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;10;1'11.1540;0.9603;0.0400;149.759
18;15;Рик Келли Гарри Джекобсон;None;Nissan Altima;12;1'11.1741;0.9804;0.0201;149.717
19;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;8;1'11.2103;1.0166;0.0362;149.641
20;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;12;1'11.3139;1.1202;0.1036;149.423
21;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;11;1'11.3176;1.1239;0.0037;149.416
22;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;10;1'11.4901;1.2964;0.1725;149.055
23;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;12;1'11.5166;1.3229;0.0265;149.000
24;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;11;1'11.7308;1.5371;0.2142;148.555
25;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;11;1'12.0493;1.8556;0.3185;147.898
26;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;1;None;None;None;None
