Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;102;2:11'13.6939;None;None;None;150
2;None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;102;2:11'23.1963;9.5024;9.5024;None;138
3;None;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;102;2:11'24.6592;10.9653;1.4629;None;129
4;None;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;102;2:11'24.8806;11.1867;0.2214;None;120
5;None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;102;2:11'27.3882;13.6943;2.5076;None;111
6;None;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;102;2:11'44.5081;30.8142;17.1199;None;102
7;None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;102;2:11'47.8445;34.1506;3.3364;None;96
8;None;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;102;2:11'48.1611;34.4672;0.3166;None;90
9;None;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;102;2:11'49.1875;35.4936;1.0264;None;84
10;None;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;102;2:11'50.1836;36.4897;0.9961;None;78
11;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;102;2:11'54.2766;40.5827;4.0930;None;72
12;None;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;102;2:11'55.9434;42.2495;1.6668;None;69
13;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;102;2:11'57.0249;43.3310;1.0815;None;66
14;None;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;102;2:11'57.6805;43.9866;0.6556;None;63
15;None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;102;2:12'04.4790;50.7851;6.7985;None;60
16;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;102;2:12'06.8611;53.1672;2.3821;None;57
17;None;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;102;2:12'25.6189;1'11.9250;18.7578;None;54
18;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;102;2:12'26.0482;1'12.3543;0.4293;None;51
19;None;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;101;2:11'31.2975;1 Lap;1 Lap;None;48
20;None;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;101;2:11'36.4313;1 Lap;5.1338;None;45
21;None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;99;2:11'14.0648;3 Laps;2 Laps;None;42
22;None;15;Рик Келли Гарри Джекобсон;None;Nissan Altima;98;2:12'03.6523;4 Laps;1 Lap;None;39
23;None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;95;2:12'01.8321;7 Laps;3 Laps;None;36
24;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;91;2:11'45.2013;11 Laps;4 Laps;None;33
None;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;22;27'04.5743;80 Laps;69 Laps;Сход;None
None;None;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;22;27'14.5515;80 Laps;9.9772;Сход;None
