Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;1;1'10.6975;None;None;150.726
2;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;1;1'10.7085;0.0110;0.0110;150.703
3;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;1;1'10.7148;0.0173;0.0063;150.689
4;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;1;1'10.7369;0.0394;0.0221;150.642
5;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;1;1'10.7985;0.1010;0.0616;150.511
6;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;1;1'10.8044;0.1069;0.0059;150.499
7;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;1;1'11.0726;0.3751;0.2682;149.931
8;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;1;None;None;None;None
9;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;0;None;None;None;None
10;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;0;None;None;None;None
