Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
None;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;66;1'09.1938;None;None;161.286
None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;93;1'09.4820;0.2882;0.0795;160.617
None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;84;1'09.9532;0.7594;0.0203;159.535
None;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;93;1'09.8917;0.6979;0.0387;159.675
None;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;125;1'09.5276;0.3338;0.0456;160.511
None;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;5;1'10.2827;1.0889;0.1129;158.787
None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;64;1'09.3745;0.1807;0.0677;160.866
None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;64;1'09.3068;0.1130;0.0039;161.023
None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;91;1'09.8996;0.7058;0.0019;159.657
None;15;Рик Келли Гарри Джекобсон;None;Nissan Altima;19;1'09.8032;0.6094;0.0302;159.878
None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;65;1'09.6860;0.4922;0.0588;160.146
None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;62;1'10.0986;0.9048;0.0154;159.204
None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;61;1'09.6272;0.4334;0.0311;160.282
None;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;63;1'10.1065;0.9127;0.0079;159.186
None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;103;1'10.0475;0.8537;0.0943;159.320
None;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;87;1'09.9329;0.7391;0.0333;159.581
None;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;63;1'09.7013;0.5075;0.0153;160.111
None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;6;1'09.8977;0.7039;0.0060;159.661
None;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;135;1'10.1290;0.9352;0.0225;159.135
None;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;92;1'09.4025;0.2087;0.0280;160.801
None;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;143;1'10.1698;0.9760;0.0408;159.042
None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;20;1'09.7730;0.5792;0.0717;159.947
None;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;104;1'09.5961;0.4023;0.0685;160.353
None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;641;1'09.8530;0.6592;0.0498;159.764
None;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;135;1'10.0832;0.8894;0.0357;159.239
None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;65;1'09.3029;0.1091;0.1091;161.032
