Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;161;3:17'28.6203;None;None;None;300
2;None;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;161;3:17'35.4514;6.8311;6.8311;None;276
3;None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;161;3:17'36.8768;8.2565;1.4254;None;258
4;None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;161;3:17'53.7975;25.1772;16.9207;None;240
5;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;161;3:17'54.3701;25.7498;0.5726;None;222
6;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;161;3:18'02.8423;34.2220;8.4722;None;204
7;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;161;3:18'07.3546;38.7343;4.5123;None;192
8;None;15;Рик Келли Гарри Джекобсон;None;Nissan Altima;161;3:18'17.4367;48.8164;10.0821;None;180
9;None;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;161;3:18'20.4341;51.8138;2.9974;None;168
10;None;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;161;3:18'26.8032;58.1829;6.3691;None;156
11;None;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;161;3:18'26.8899;58.2696;0.0867;None;144
12;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;160;3:17'29.9578;1 Lap;1 Lap;None;138
13;None;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;160;3:17'32.2865;1 Lap;2.3287;None;132
14;None;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;160;3:17'32.6275;1 Lap;0.3410;None;126
15;None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;160;3:17'33.3449;1 Lap;0.7174;None;120
16;None;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;160;3:17'34.1100;1 Lap;0.7651;None;114
17;None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;160;3:17'42.1330;1 Lap;8.0230;None;108
18;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;160;3:17'51.6371;1 Lap;9.5041;None;102
19;None;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;160;3:18'00.1193;1 Lap;8.4822;None;96
20;None;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;160;3:18'11.1357;1 Lap;11.0164;None;90
21;None;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;160;3:18'28.3850;1 Lap;17.2493;None;84
22;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;156;3:18'01.3672;5 Laps;4 Laps;None;78
23;None;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;145;3:17'45.1898;16 Laps;11 Laps;None;72
24;None;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;142;3:17'45.3148;19 Laps;3 Laps;None;66
25;None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;134;3:18'38.7919;27 Laps;8 Laps;None;60
None;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;129;2:41'03.0202;32 Laps;5 Laps;Сход;None
