Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;16;1'08.4080;None;None;163.138
2;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;16;1'08.7958;0.3878;0.3878;162.219
3;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;14;1'08.7976;0.3896;0.0018;162.214
4;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;17;1'08.8335;0.4255;0.0359;162.130
5;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;16;1'08.8510;0.4430;0.0175;162.089
6;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;14;1'08.8584;0.4504;0.0074;162.071
7;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;12;1'08.8807;0.4727;0.0223;162.019
8;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;15;1'08.9668;0.5588;0.0861;161.816
9;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;15;1'09.0167;0.6087;0.0499;161.699
10;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;14;1'09.0533;0.6453;0.0366;161.614
11;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;13;1'09.0895;0.6815;0.0362;161.529
12;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;10;1'09.0932;0.6852;0.0037;161.520
13;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;15;1'09.1099;0.7019;0.0167;161.481
14;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;14;1'09.1281;0.7201;0.0182;161.439
15;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;16;1'09.1440;0.7360;0.0159;161.402
16;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;14;1'09.1680;0.7600;0.0240;161.346
17;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;14;1'09.2212;0.8132;0.0532;161.222
18;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;14;1'09.2975;0.8895;0.0763;161.044
19;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;15;1'09.3315;0.9235;0.0340;160.965
20;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;13;1'09.4559;1.0479;0.1244;160.677
21;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;13;1'09.4606;1.0526;0.0047;160.666
22;15;Рик Келли Гарри Джекобсон;None;Nissan Altima;15;1'09.5194;1.1114;0.0588;160.530
23;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;8;1'09.5588;1.1508;0.0394;160.439
24;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;14;1'09.5779;1.1699;0.0191;160.395
25;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;14;1'09.5985;1.1905;0.0206;160.348
26;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;14;1'09.7138;1.3058;0.1153;160.083
