Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;17;1'12.2435;None;None;142.518
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;15;1'12.5872;0.3437;0.3437;141.843
3;17;Скотт Маклафлин;None;Ford Falcon FG X;12;1'12.6438;0.4003;0.0566;141.732
4;8;Ник Перкат;None;Holden Commodore ZB;16;1'12.6581;0.4146;0.0143;141.704
5;230;Уилл Дэвисон;None;Ford Falcon FG X;19;1'12.6926;0.4491;0.0345;141.637
6;9;Дэвид Рейнольдс;None;Holden Commodore ZB;15;1'12.7153;0.4718;0.0227;141.593
7;15;Рик Келли;None;Nissan Altima;18;1'12.8247;0.5812;0.1094;141.380
8;19;Джек ЛеБрок;None;Holden Commodore ZB;18;1'12.8387;0.5952;0.0140;141.353
9;12;Фабиан Култхард;None;Ford Falcon FG X;16;1'12.9445;0.7010;0.1058;141.148
10;2;Скотт Пай;None;Holden Commodore ZB;14;1'12.9740;0.7305;0.0295;141.091
11;5;Марк Винтерботтом;None;Ford Falcon FG X;17;1'12.9746;0.7311;0.0006;141.090
12;23;Майкл Карузо;None;Nissan Altima;15;1'13.0164;0.7729;0.0418;141.009
13;25;Джеймс Кортни;None;Holden Commodore ZB;15;1'13.0332;0.7897;0.0168;140.976
14;14;Тим Слейд;None;Holden Commodore ZB;19;1'13.0540;0.8105;0.0208;140.936
15;888;Крэг Лаундес;None;Holden Commodore ZB;24;1'13.0908;0.8473;0.0368;140.865
16;18;Ли Холдсуорт;None;Holden Commodore ZB;16;1'13.1054;0.8619;0.0146;140.837
17;99;Антон де Паскуале;None;Holden Commodore ZB;15;1'13.1130;0.8695;0.0076;140.823
18;78;Симона де Сильвестро;None;Nissan Altima;19;1'13.1547;0.9112;0.0417;140.742
19;6;Кэмерон Уотерс;None;Ford Falcon FG X;18;1'13.1754;0.9319;0.0207;140.703
20;55;Час Мостер;None;Ford Falcon FG X;17;1'13.1953;0.9518;0.0199;140.664
21;7;Андре Хаймгартнер;None;Nissan Altima;17;1'13.1955;0.9520;0.0002;140.664
22;33;Гарт Тандер;None;Holden Commodore ZB;17;1'13.3990;1.1555;0.2035;140.274
23;35;Тодд Хазелвуд;None;Ford Falcon FG X;13;1'13.4058;1.1623;0.0068;140.261
24;21;Тим Бланкард;None;Holden Commodore ZB;13;1'13.4640;1.2205;0.0582;140.150
25;34;Джеймс Голдинг;None;Holden Commodore ZB;17;1'13.5360;1.2925;0.0720;140.013
26;56;Ричи Стэнэвей;None;Ford Falcon FG X;16;1'13.7510;1.5075;0.2150;139.604
