Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;5;1'32.0806;None;None;173.782
2;15;Рик Келли;None;Nissan Altima;11;1'32.2679;0.1873;0.1873;173.429
3;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'32.3330;0.2524;0.0651;173.307
4;23;Майкл Карузо;None;Nissan Altima;3;1'32.4108;0.3302;0.0778;173.161
5;12;Фабиан Култхард;None;Ford Falcon FG X;2;1'32.4445;0.3639;0.0337;173.098
6;55;Час Мостер;None;Ford Falcon FG X;12;1'32.6078;0.5272;0.1633;172.793
7;1;Джейми Уинкап;None;Holden Commodore ZB;3;1'32.6929;0.6123;0.0851;172.634
8;25;Джеймс Кортни;None;Holden Commodore ZB;3;1'32.7464;0.6658;0.0535;172.534
9;99;Антон де Паскуале;None;Holden Commodore ZB;5;1'32.8774;0.7968;0.1310;172.291
10;97;Шейн ван Гисберген;None;Holden Commodore ZB;43;1'32.8863;0.8057;0.0089;172.275
11;5;Марк Винтерботтом;None;Ford Falcon FG X;12;1'32.8903;0.8097;0.0040;172.267
12;888;Крэг Лаундес;None;Holden Commodore ZB;29;1'33.0143;0.9337;0.1240;172.038
13;33;Гарт Тандер;None;Holden Commodore ZB;4;1'33.0475;0.9669;0.0332;171.976
14;2;Скотт Пай;None;Holden Commodore ZB;33;1'33.0484;0.9678;0.0009;171.975
15;7;Андре Хаймгартнер;None;Nissan Altima;4;1'33.0652;0.9846;0.0168;171.943
16;8;Ник Перкат;None;Holden Commodore ZB;39;1'33.2214;1.1408;0.1562;171.655
17;78;Симона де Сильвестро;None;Nissan Altima;7;1'33.2980;1.2174;0.0766;171.514
18;6;Кэмерон Уотерс;None;Ford Falcon FG X;30;1'33.3138;1.2332;0.0158;171.485
19;35;Тодд Хазелвуд;None;Ford Falcon FG X;39;1'33.3299;1.2493;0.0161;171.456
20;56;Ричи Стэнэвей;None;Ford Falcon FG X;4;1'33.3713;1.2907;0.0414;171.380
21;14;Тим Слейд;None;Holden Commodore ZB;36;1'33.4723;1.3917;0.1010;171.195
22;34;Джеймс Голдинг;None;Holden Commodore ZB;34;1'33.5172;1.4366;0.0449;171.112
23;18;Ли Холдсуорт;None;Holden Commodore ZB;5;1'33.5737;1.4931;0.0565;171.009
24;19;Джек ЛеБрок;None;Holden Commodore ZB;14;1'33.5835;1.5029;0.0098;170.991
25;21;Тим Бланкард;None;Holden Commodore ZB;37;1'33.6500;1.5694;0.0665;170.870
26;230;Уилл Дэвисон;None;Ford Falcon FG X;13;1'33.6921;1.6115;0.0421;170.793
