Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG X;57;1:30'50.5676;None;None;None;150
2;None;15;Рик Келли;None;Nissan Altima;57;1:30'52.9714;2.4038;2.4038;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;57;1:30'59.6513;9.0837;6.6799;None;129
4;None;888;Крэг Лаундес;None;Holden Commodore ZB;57;1:31'02.8505;12.2829;3.1992;None;120
5;None;55;Час Мостер;None;Ford Falcon FG X;57;1:31'04.1243;13.5567;1.2738;None;111
6;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;57;1:31'08.9005;18.3329;4.7762;None;102
7;None;99;Антон де Паскуале;None;Holden Commodore ZB;57;1:31'09.4218;18.8542;0.5213;None;96
8;None;230;Уилл Дэвисон;None;Ford Falcon FG X;57;1:31'22.1068;31.5392;12.6850;None;90
9;None;2;Скотт Пай;None;Holden Commodore ZB;57;1:31'22.9111;32.3435;0.8043;None;84
10;None;14;Тим Слейд;None;Holden Commodore ZB;57;1:31'23.0596;32.4920;0.1485;None;78
11;None;33;Гарт Тандер;None;Holden Commodore ZB;57;1:31'24.1696;33.6020;1.1100;None;72
12;None;12;Фабиан Култхард;None;Ford Falcon FG X;57;1:31'24.5133;33.9457;0.3437;None;69
13;None;5;Марк Винтерботтом;None;Ford Falcon FG X;57;1:31'25.0212;34.4536;0.5079;None;66
14;None;1;Джейми Уинкап;None;Holden Commodore ZB;57;1:31'29.4637;38.8961;4.4425;None;63
15;None;7;Андре Хаймгартнер;None;Nissan Altima;57;1:31'30.3672;39.7996;0.9035;None;60
16;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;57;1:31'35.4963;44.9287;5.1291;None;57
17;None;25;Джеймс Кортни;None;Holden Commodore ZB;57;1:31'35.9701;45.4025;0.4738;None;54
18;None;23;Майкл Карузо;None;Nissan Altima;57;1:31'36.4225;45.8549;0.4524;None;51
19;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;57;1:31'43.9188;53.3512;7.4963;None;48
20;None;19;Джек ЛеБрок;None;Holden Commodore ZB;57;1:31'45.4619;54.8943;1.5431;None;45
21;None;21;Тим Бланкард;None;Holden Commodore ZB;57;1:32'03.1678;1'12.6002;17.7059;None;42
22;None;18;Ли Холдсуорт;None;Holden Commodore ZB;57;1:32'04.0390;1'13.4714;0.8712;None;39
23;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;57;1:32'19.4336;1'28.8660;15.3946;None;36
24;None;78;Симона де Сильвестро;None;Nissan Altima;57;1:32'29.7484;1'39.1808;10.3148;None;33
25;None;34;Джеймс Голдинг;None;Holden Commodore ZB;50;1:32'07.5940;7 Laps;7 Laps;None;30
26;None;8;Ник Перкат;None;Holden Commodore ZB;45;1:32'11.4669;12 Laps;5 Laps;None;27
