Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;55;Час Мостер;None;Ford Mustang GT;60;1'20.3792;None;None;144.216
2;17;Скотт Маклафлин;None;Ford Mustang GT;48;1'20.7008;0.3216;0.3216;143.641
3;12;Фабиан Култхард;None;Ford Mustang GT;16;1'20.7269;0.3477;0.0261;143.595
4;6;Кэмерон Уотерс;None;Ford Mustang GT;11;1'20.7579;0.3787;0.0310;143.540
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;60;1'20.7662;0.3870;0.0083;143.525
6;5;Ли Холдсуорт;None;Ford Mustang GT;44;1'20.9078;0.5286;0.1416;143.274
7;23;Уилл Дэвисон;None;Ford Mustang GT;41;1'21.0049;0.6257;0.0971;143.102
8;7;Андре Хаймгартнер;None;Nissan Altima L33;40;1'21.0535;0.6743;0.0486;143.016
9;88;Джейми Уинкап;None;Holden Commodore ZB;11;1'21.1516;0.7724;0.0981;142.843
10;9;Дэвид Рейнольдс;None;Holden Commodore ZB;35;1'21.2104;0.8312;0.0588;142.740
11;35;Тодд Хазелвуд;None;Holden Commodore ZB;44;1'21.2254;0.8462;0.0150;142.713
12;8;Ник Перкат;None;Holden Commodore ZB;50;1'21.2424;0.8632;0.0170;142.684
13;14;Тим Слейд;None;Holden Commodore ZB;43;1'21.2778;0.8986;0.0354;142.621
14;78;Симона де Сильвестро;None;Nissan Altima L33;43;1'21.2920;0.9128;0.0142;142.597
15;18;Марк Винтерботтом;None;Holden Commodore ZB;44;1'21.3658;0.9866;0.0738;142.467
16;33;Ричи Стэнэвей;None;Holden Commodore ZB;8;1'21.4994;1.1202;0.1336;142.234
17;34;Джеймс Голдинг;None;Holden Commodore ZB;41;1'21.5091;1.1299;0.0097;142.217
18;99;Антон де Паскуале;None;Holden Commodore ZB;12;1'21.5132;1.1340;0.0041;142.210
19;2;Скотт Пай;None;Holden Commodore ZB;24;1'21.6381;1.2589;0.1249;141.992
20;22;Джеймс Кортни;None;Holden Commodore ZB;7;1'21.6978;1.3186;0.0597;141.888
21;19;Джек ЛеБрок;None;Holden Commodore ZB;33;1'21.8218;1.4426;0.1240;141.673
22;15;Рик Келли;None;Nissan Altima L33;24;1'21.8323;1.4531;0.0105;141.655
23;3;Гарри Джекобсон;None;Nissan Altima L33;45;1'22.1057;1.7265;0.2734;141.183
24;21;Маколи Джонс;None;Holden Commodore ZB;41;1'22.5192;2.1400;0.4135;140.476
