Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;16;1'20.3906;None;None;144.195
2;88;Джейми Уинкап;None;Holden Commodore ZB;15;1'20.5415;0.1509;0.1509;143.925
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;13;1'20.5454;0.1548;0.0039;143.918
4;2;Скотт Пай;None;Holden Commodore ZB;13;1'20.7467;0.3561;0.2013;143.560
5;12;Фабиан Култхард;None;Ford Mustang GT;11;1'20.8087;0.4181;0.0620;143.449
6;18;Марк Винтерботтом;None;Holden Commodore ZB;16;1'20.9167;0.5261;0.1080;143.258
7;5;Ли Холдсуорт;None;Ford Mustang GT;13;1'21.0694;0.6788;0.1527;142.988
8;35;Тодд Хазелвуд;None;Holden Commodore ZB;15;1'21.0902;0.6996;0.0208;142.951
9;14;Тим Слейд;None;Holden Commodore ZB;12;1'21.1653;0.7747;0.0751;142.819
10;6;Кэмерон Уотерс;None;Ford Mustang GT;13;1'21.1756;0.7850;0.0103;142.801
11;23;Уилл Дэвисон;None;Ford Mustang GT;14;1'21.1895;0.7989;0.0139;142.777
12;22;Джеймс Кортни;None;Holden Commodore ZB;8;1'21.2476;0.8570;0.0581;142.674
13;55;Час Мостер;None;Ford Mustang GT;12;1'21.2677;0.8771;0.0201;142.639
14;8;Ник Перкат;None;Holden Commodore ZB;14;1'21.2998;0.9092;0.0321;142.583
15;9;Дэвид Рейнольдс;None;Holden Commodore ZB;13;1'21.3105;0.9199;0.0107;142.564
16;78;Симона де Сильвестро;None;Nissan Altima;13;1'21.4479;1.0573;0.1374;142.324
17;7;Андре Хаймгартнер;None;Nissan Altima;12;1'21.5324;1.1418;0.0845;142.176
18;21;Маколи Джонс;None;Holden Commodore ZB;15;1'21.5385;1.1479;0.0061;142.165
19;34;Джеймс Голдинг;None;Holden Commodore ZB;16;1'21.5549;1.1643;0.0164;142.137
20;3;Гарри Джекобсон;None;Nissan Altima;13;1'21.8944;1.5038;0.3395;141.548
21;33;Ричи Стэнэвей;None;Holden Commodore ZB;13;1'21.9321;1.5415;0.0377;141.483
22;15;Рик Келли;None;Nissan Altima;14;1'21.9574;1.5668;0.0253;141.439
23;99;Антон де Паскуале;None;Holden Commodore ZB;19;1'22.0254;1.6348;0.0680;141.322
24;19;Джек ЛеБрок;None;Holden Commodore ZB;19;1'22.0348;1.6442;0.0094;141.305
