Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;155;2'04.7602;None;None;179.278
2;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;109;2'05.2946;0.5344;0.5344;178.513
3;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;111;2'05.4007;0.6405;0.1061;178.362
4;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;109;2'05.5439;0.7837;0.1432;178.159
5;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;92;2'05.7565;0.9963;0.2126;177.858
6;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;144;2'05.7578;0.9976;0.0013;177.856
7;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;111;2'05.7808;1.0206;0.0230;177.823
8;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;107;2'05.8541;1.0939;0.0733;177.720
9;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;121;2'05.8565;1.0963;0.0024;177.716
10;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;108;2'05.9887;1.2285;0.1322;177.530
11;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;99;2'06.0071;1.2469;0.0184;177.504
12;15;Рик Келли Дейл Вуд;None;Nissan Altima;109;2'06.0807;1.3205;0.0736;177.400
13;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;143;2'06.1304;1.3702;0.0497;177.330
14;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;119;2'06.1867;1.4265;0.0563;177.251
15;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;132;2'06.2461;1.4859;0.0594;177.168
16;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;73;2'06.2479;1.4877;0.0018;177.165
17;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;143;2'06.2857;1.5255;0.0378;177.112
18;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;110;2'06.3681;1.6079;0.0824;176.997
19;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;7;2'06.4180;1.6578;0.0499;176.927
20;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;133;2'06.4594;1.6992;0.0414;176.869
21;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;58;2'06.9733;2.2131;0.5139;176.153
22;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;77;2'07.0153;2.2551;0.0420;176.095
23;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;143;2'07.0712;2.3110;0.0559;176.017
24;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;5;2'07.1395;2.3793;0.0683;175.923
25;27;Александр Росси Джеймс Хинчклифф;None;Holden Commodore ZB;132;2'07.3611;2.6009;0.2216;175.617
