Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;14;2'27.6476;None;None;151.487
2;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;14;2'28.0483;0.4007;0.4007;151.077
3;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;14;2'29.1879;1.5403;1.1396;149.923
4;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;14;2'29.2431;1.5955;0.0552;149.868
5;14;Тим Слейд;None;Holden Commodore ZB;13;2'29.3889;1.7413;0.1458;149.721
6;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;13;2'29.4619;1.8143;0.0730;149.648
7;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;13;2'29.6973;2.0497;0.2354;149.413
8;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;5;2'29.7038;2.0562;0.0065;149.407
9;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;13;2'29.8025;2.1549;0.0987;149.308
10;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;14;2'29.8288;2.1812;0.0263;149.282
11;15;Рик Келли Дейл Вуд;None;Nissan Altima;13;2'29.8573;2.2097;0.0285;149.253
12;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;13;2'29.9047;2.2571;0.0474;149.206
13;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;14;2'30.1249;2.4773;0.2202;148.987
14;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;14;2'30.1690;2.5214;0.0441;148.944
15;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;13;2'30.2670;2.6194;0.0980;148.847
16;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;13;2'30.2983;2.6507;0.0313;148.816
17;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;14;2'30.5723;2.9247;0.2740;148.545
18;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;13;2'30.6557;3.0081;0.0834;148.463
19;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;15;2'30.7457;3.0981;0.0900;148.374
20;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;13;2'30.7642;3.1166;0.0185;148.356
21;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;14;2'30.9051;3.2575;0.1409;148.217
22;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;13;2'31.1510;3.5034;0.2459;147.976
23;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;14;2'31.2474;3.5998;0.0964;147.882
24;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;14;2'31.5757;3.9281;0.3283;147.561
25;27;Александр Росси Джеймс Хинчклифф;None;Holden Commodore ZB;13;2'31.6046;3.9570;0.0289;147.533
26;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;13;2'33.8786;6.2310;2.2740;145.353
