Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;161;6:27'51.5260;None;None;None;300
2;None;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;161;6:27'52.2059;0.6799;0.6799;None;276
3;None;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;161;6:27'53.4029;1.8769;1.1970;None;258
4;None;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;161;6:27'54.1958;2.6698;0.7929;None;240
5;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;161;6:27'55.1690;3.6430;0.9732;None;222
6;None;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;161;6:27'57.1487;5.6227;1.9797;None;204
7;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;161;6:27'58.1347;6.6087;0.9860;None;192
8;None;15;Рик Келли Дейл Вуд;None;Nissan Altima;161;6:27'58.1993;6.6733;0.0646;None;180
9;None;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;161;6:27'58.5099;6.9839;0.3106;None;168
10;None;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;161;6:27'59.2294;7.7034;0.7195;None;156
11;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;161;6:27'59.3822;7.8562;0.1528;None;144
12;None;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;161;6:28'02.7883;11.2623;3.4061;None;138
13;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;160;6:28'04.9059;1 Lap;1 Lap;None;132
14;None;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;160;6:28'31.9520;1 Lap;27.0461;None;126
15;None;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;160;6:28'32.0538;1 Lap;0.1018;None;120
16;None;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;160;6:28'32.5413;1 Lap;0.4875;None;114
17;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;160;6:28'32.5632;1 Lap;0.0219;None;108
18;None;27;Александр Росси Джеймс Хинчклифф;None;Holden Commodore ZB;159;6:28'04.6435;2 Laps;1 Lap;None;102
19;None;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;159;6:28'25.4750;2 Laps;20.8315;None;96
20;None;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;148;6:28'03.2688;13 Laps;11 Laps;None;90
21;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;161;6:27'55.5946;4.0686;None;None;84
None;None;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;157;6:13'56.2720;4 Laps;4 Laps;Сход;None
None;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;125;4:56'49.2596;36 Laps;32 Laps;Сход;None
None;None;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;111;4:14'41.8454;50 Laps;14 Laps;Сход;None
None;None;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;98;3:41'34.4961;63 Laps;13 Laps;Сход;None
None;None;14;Тим Слейд;None;Holden Commodore ZB;0;None;None;None;Сход;None
