Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;12;1'09.1926;None;None;162.329
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;13;1'09.2516;0.0590;0.0590;162.191
3;23;Уилл Дэвисон;None;Ford Mustang GT;16;1'09.3173;0.1247;0.0657;162.037
4;55;Час Мостер;None;Ford Mustang GT;16;1'09.4012;0.2086;0.0839;161.841
5;6;Кэмерон Уотерс;None;Ford Mustang GT;14;1'09.5070;0.3144;0.1058;161.595
6;35;Тодд Хазелвуд;None;Holden Commodore ZB;15;1'09.5669;0.3743;0.0599;161.456
7;2;Скотт Пай;None;Holden Commodore ZB;15;1'09.6196;0.4270;0.0527;161.333
8;14;Тим Слейд;None;Holden Commodore ZB;16;1'09.6430;0.4504;0.0234;161.279
9;99;Антон де Паскуале;None;Holden Commodore ZB;16;1'09.6708;0.4782;0.0278;161.215
10;5;Ли Холдсуорт;None;Ford Mustang GT;16;1'09.7136;0.5210;0.0428;161.116
11;22;Джеймс Кортни;None;Holden Commodore ZB;12;1'09.7719;0.5793;0.0583;160.981
12;18;Марк Винтерботтом;None;Holden Commodore ZB;12;1'09.7963;0.6037;0.0244;160.925
13;33;Майкл Карузо;None;Holden Commodore ZB;15;1'09.8439;0.6513;0.0476;160.815
14;97;Шейн ван Гисберген;None;Holden Commodore ZB;14;1'09.8663;0.6737;0.0224;160.764
15;8;Ник Перкат;None;Holden Commodore ZB;13;1'09.8685;0.6759;0.0022;160.759
16;12;Фабиан Култхард;None;Ford Mustang GT;13;1'09.8916;0.6990;0.0231;160.706
17;7;Андре Хаймгартнер;None;Nissan Altima;14;1'09.9051;0.7125;0.0135;160.674
18;88;Джейми Уинкап;None;Holden Commodore ZB;14;1'09.9563;0.7637;0.0512;160.557
19;15;Рик Келли;None;Nissan Altima;13;1'09.9830;0.7904;0.0267;160.496
20;78;Симона де Сильвестро;None;Nissan Altima;14;1'10.0184;0.8258;0.0354;160.414
21;3;Гарри Джекобсон;None;Nissan Altima;15;1'10.0195;0.8269;0.0011;160.412
22;34;Джеймс Голдинг;None;Holden Commodore ZB;11;1'10.0662;0.8736;0.0467;160.305
23;21;Маколи Джонс;None;Holden Commodore ZB;10;1'10.0779;0.8853;0.0117;160.278
24;19;Джек ЛеБрок;None;Holden Commodore ZB;15;1'10.1551;0.9625;0.0772;160.102
