Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;10;1'08.6369;None;None;163.643
2;88;Джейми Уинкап;None;Holden Commodore ZB;7;1'08.7480;0.1111;0.1111;163.379
3;23;Уилл Дэвисон;None;Ford Mustang GT;7;1'08.7513;0.1144;0.0033;163.371
4;5;Ли Холдсуорт;None;Ford Mustang GT;10;1'08.9368;0.2999;0.1855;162.931
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;8;1'08.9586;0.3217;0.0218;162.880
6;55;Час Мостер;None;Ford Mustang GT;10;1'08.9686;0.3317;0.0100;162.856
7;99;Антон де Паскуале;None;Holden Commodore ZB;11;1'09.0124;0.3755;0.0438;162.753
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;10;1'09.0172;0.3803;0.0048;162.742
9;12;Фабиан Култхард;None;Ford Mustang GT;7;1'09.1667;0.5298;0.1495;162.390
10;6;Кэмерон Уотерс;None;Ford Mustang GT;12;1'09.1812;0.5443;0.0145;162.356
