Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore ZB;39;46'37.9110;None;None;None;150
2;None;23;Уилл Дэвисон;None;Ford Mustang GT;39;46'40.0907;2.1797;2.1797;None;138
3;None;55;Час Мостер;None;Ford Mustang GT;39;46'43.9641;6.0531;3.8734;None;129
4;None;17;Скотт Маклафлин;None;Ford Mustang GT;39;46'46.6435;8.7325;2.6794;None;120
5;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;39;46'47.6107;9.6997;0.9672;None;111
6;None;6;Кэмерон Уотерс;None;Ford Mustang GT;39;46'58.7404;20.8294;11.1297;None;102
7;None;5;Ли Холдсуорт;None;Ford Mustang GT;39;47'01.0670;23.1560;2.3266;None;96
8;None;8;Ник Перкат;None;Holden Commodore ZB;39;47'03.3778;25.4668;2.3108;None;90
9;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;39;47'13.5533;35.6423;10.1755;None;84
10;None;12;Фабиан Култхард;None;Ford Mustang GT;39;47'14.4128;36.5018;0.8595;None;78
11;None;22;Джеймс Кортни;None;Holden Commodore ZB;39;47'15.7494;37.8384;1.3366;None;72
12;None;7;Андре Хаймгартнер;None;Nissan Altima;39;47'18.0655;40.1545;2.3161;None;69
13;None;34;Джеймс Голдинг;None;Holden Commodore ZB;39;47'18.6572;40.7462;0.5917;None;66
14;None;99;Антон де Паскуале;None;Holden Commodore ZB;39;47'20.5691;42.6581;1.9119;None;63
15;None;18;Марк Винтерботтом;None;Holden Commodore ZB;39;47'22.0999;44.1889;1.5308;None;60
16;None;15;Рик Келли;None;Nissan Altima;39;47'22.8872;44.9762;0.7873;None;57
17;None;33;Майкл Карузо;None;Holden Commodore ZB;39;47'23.8868;45.9758;0.9996;None;54
18;None;78;Симона де Сильвестро;None;Nissan Altima;39;47'24.2325;46.3215;0.3457;None;51
19;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;39;47'30.9405;53.0295;6.7080;None;48
20;None;3;Гарри Джекобсон;None;Nissan Altima;39;47'38.9128;1'01.0018;7.9723;None;45
21;None;2;Скотт Пай;None;Holden Commodore ZB;38;46'43.2923;1 Lap;1 Lap;None;42
22;None;19;Джек ЛеБрок;None;Holden Commodore ZB;38;47'27.1930;1 Lap;43.9007;None;39
None;None;14;Тим Слейд;None;Holden Commodore ZB;37;44'48.7896;2 Laps;1 Lap;Сход;None
None;None;21;Маколи Джонс;None;Holden Commodore ZB;37;45'10.5583;2 Laps;21.7687;Сход;None
