Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;22;Джеймс Кортни;None;Holden Commodore ZB;70;1'10.7377;None;None;132.319
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'10.7669;0.0292;0.0292;132.265
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;81;1'10.7800;0.0423;0.0131;132.240
4;21;Маколи Джонс;None;Holden Commodore ZB;76;1'10.9256;0.1879;0.1456;131.969
5;55;Час Мостер;None;Ford Mustang GT;64;1'11.0122;0.2745;0.0866;131.808
6;6;Кэмерон Уотерс;None;Ford Mustang GT;8;1'11.0208;0.2831;0.0086;131.792
7;88;Джейми Уинкап;None;Holden Commodore ZB;8;1'11.2301;0.4924;0.2093;131.405
8;18;Марк Винтерботтом;None;Holden Commodore ZB;49;1'11.2744;0.5367;0.0443;131.323
9;14;Тим Слейд;None;Holden Commodore ZB;55;1'11.3442;0.6065;0.0698;131.194
10;17;Скотт Маклафлин;None;Ford Mustang GT;18;1'11.3788;0.6411;0.0346;131.131
11;2;Скотт Пай;None;Holden Commodore ZB;61;1'11.3902;0.6525;0.0114;131.110
12;12;Фабиан Култхард;None;Ford Mustang GT;5;1'11.4026;0.6649;0.0124;131.087
13;78;Симона де Сильвестро;None;Nissan Altima;58;1'11.4157;0.6780;0.0131;131.063
14;23;Уилл Дэвисон;None;Ford Mustang GT;16;1'11.4217;0.6840;0.0060;131.052
15;34;Джеймс Голдинг;None;Holden Commodore ZB;56;1'11.4468;0.7091;0.0251;131.006
16;8;Ник Перкат;None;Holden Commodore ZB;79;1'11.5396;0.8019;0.0928;130.836
17;35;Тодд Хазелвуд;None;Holden Commodore ZB;60;1'11.5712;0.8335;0.0316;130.778
18;99;Антон де Паскуале;None;Holden Commodore ZB;5;1'11.5810;0.8433;0.0098;130.760
19;33;Ричи Стэнэвей;None;Holden Commodore ZB;7;1'11.6827;0.9450;0.1017;130.575
20;7;Андре Хаймгартнер;None;Nissan Altima;56;1'11.7040;0.9663;0.0213;130.536
21;3;Гарри Джекобсон;None;Nissan Altima;53;1'11.7367;0.9990;0.0327;130.477
22;15;Рик Келли;None;Nissan Altima;5;1'11.7643;1.0266;0.0276;130.426
23;19;Джек ЛеБрок;None;Holden Commodore ZB;60;1'11.7970;1.0593;0.0327;130.367
24;5;Ли Холдсуорт;None;Ford Mustang GT;62;1'12.0042;1.2665;0.2072;129.992
