Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;10;1'10.1823;None;None;133.366
2;99;Антон де Паскуале;None;Holden Commodore ZB;9;1'10.3092;0.1269;0.1269;133.126
3;6;Кэмерон Уотерс;None;Ford Mustang GT;11;1'10.3559;0.1736;0.0467;133.037
4;12;Фабиан Култхард;None;Ford Mustang GT;12;1'10.3830;0.2007;0.0271;132.986
5;5;Ли Холдсуорт;None;Ford Mustang GT;11;1'10.4130;0.2307;0.0300;132.929
6;14;Тим Слейд;None;Holden Commodore ZB;9;1'10.4472;0.2649;0.0342;132.865
7;22;Джеймс Кортни;None;Holden Commodore ZB;10;1'10.4595;0.2772;0.0123;132.842
8;17;Скотт Маклафлин;None;Ford Mustang GT;12;1'10.4717;0.2894;0.0122;132.819
9;9;Дэвид Рейнольдс;None;Holden Commodore ZB;12;1'10.4969;0.3146;0.0252;132.771
10;97;Шейн ван Гисберген;None;Holden Commodore ZB;11;1'10.5342;0.3519;0.0373;132.701
11;18;Марк Винтерботтом;None;Holden Commodore ZB;12;1'10.5789;0.3966;0.0447;132.617
12;15;Рик Келли;None;Nissan Altima;12;1'10.5966;0.4143;0.0177;132.584
13;35;Тодд Хазелвуд;None;Holden Commodore ZB;10;1'10.6162;0.4339;0.0196;132.547
14;8;Ник Перкат;None;Holden Commodore ZB;11;1'10.6299;0.4476;0.0137;132.521
15;23;Уилл Дэвисон;None;Ford Mustang GT;11;1'10.6337;0.4514;0.0038;132.514
16;55;Час Мостер;None;Ford Mustang GT;11;1'10.6367;0.4544;0.0030;132.509
17;21;Маколи Джонс;None;Holden Commodore ZB;10;1'10.6782;0.4959;0.0415;132.431
18;7;Андре Хаймгартнер;None;Nissan Altima;12;1'10.9020;0.7197;0.2238;132.013
19;19;Джек ЛеБрок;None;Holden Commodore ZB;11;1'10.9264;0.7441;0.0244;131.967
20;78;Симона де Сильвестро;None;Nissan Altima;11;1'10.9812;0.7989;0.0548;131.865
21;3;Гарри Джекобсон;None;Nissan Altima;12;1'11.0541;0.8718;0.0729;131.730
22;33;Ричи Стэнэвей;None;Holden Commodore ZB;12;1'11.0615;0.8792;0.0074;131.716
23;34;Джеймс Голдинг;None;Holden Commodore ZB;12;1'11.2179;1.0356;0.1564;131.427
24;2;Скотт Пай;None;Holden Commodore ZB;6;1'12.6224;2.4401;1.4045;128.885
