Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;95;1:55'11.9746;None;None;None;150
2;None;17;Скотт Маклафлин;None;Ford Mustang GT;95;1:55'22.5015;10.5269;10.5269;None;138
3;None;12;Фабиан Култхард;None;Ford Mustang GT;95;1:55'24.8047;12.8301;2.3032;None;129
4;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;95;1:55'27.2987;15.3241;2.4940;None;120
5;None;6;Кэмерон Уотерс;None;Ford Mustang GT;95;1:55'34.9324;22.9578;7.6337;None;111
6;None;2;Скотт Пай;None;Holden Commodore ZB;95;1:55'35.6923;23.7177;0.7599;None;102
7;None;22;Джеймс Кортни;None;Holden Commodore ZB;95;1:55'41.6253;29.6507;5.9330;None;96
8;None;88;Джейми Уинкап;None;Holden Commodore ZB;95;1:55'41.8935;29.9189;0.2682;None;90
9;None;14;Тим Слейд;None;Holden Commodore ZB;95;1:55'42.6273;30.6527;0.7338;None;84
10;None;18;Марк Винтерботтом;None;Holden Commodore ZB;95;1:55'47.3532;35.3786;4.7259;None;78
11;None;55;Час Мостер;None;Ford Mustang GT;95;1:55'53.3783;41.4037;6.0251;None;72
12;None;5;Ли Холдсуорт;None;Ford Mustang GT;95;1:56'01.5239;49.5493;8.1456;None;69
13;None;15;Рик Келли;None;Nissan Altima;95;1:56'10.4898;58.5152;8.9659;None;66
14;None;8;Ник Перкат;None;Holden Commodore ZB;95;1:56'12.9165;1'00.9419;2.4267;None;63
15;None;23;Уилл Дэвисон;None;Ford Mustang GT;95;1:56'14.5909;1'02.6163;1.6744;None;60
16;None;33;Ричи Стэнэвей;None;Holden Commodore ZB;95;1:56'22.6139;1'10.6393;8.0230;None;57
17;None;21;Маколи Джонс;None;Holden Commodore ZB;95;1:56'22.7273;1'10.7527;0.1134;None;54
18;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;94;1:55'13.4700;1 Lap;1 Lap;None;51
19;None;78;Симона де Сильвестро;None;Nissan Altima;94;1:55'30.9692;1 Lap;17.4992;None;48
20;None;3;Гарри Джекобсон;None;Nissan Altima;94;1:55'47.9429;1 Lap;16.9737;None;45
21;None;7;Андре Хаймгартнер;None;Nissan Altima;94;1:55'48.8519;1 Lap;0.9090;None;42
22;None;34;Джеймс Голдинг;None;Holden Commodore ZB;94;1:56'25.6108;1 Lap;36.7589;None;39
23;None;99;Антон де Паскуале;None;Holden Commodore ZB;91;1:56'20.7118;4 Laps;3 Laps;None;36
None;None;19;Джек ЛеБрок;None;Holden Commodore ZB;2;3'11.8064;93 Laps;89 Laps;Сход;None
