Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;1;1'10.5551;None;None;132.662
2;6;Кэмерон Уотерс;None;Ford Mustang GT;1;1'10.7737;0.2186;0.2186;132.252
3;12;Фабиан Култхард;None;Ford Mustang GT;1;1'10.8432;0.2881;0.0695;132.122
4;17;Скотт Маклафлин;None;Ford Mustang GT;1;1'10.8452;0.2901;0.0020;132.119
5;2;Скотт Пай;None;Holden Commodore ZB;1;1'10.9907;0.4356;0.1455;131.848
6;99;Антон де Паскуале;None;Holden Commodore ZB;1;1'11.0277;0.4726;0.0370;131.779
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1;1'11.0352;0.4801;0.0075;131.765
8;14;Тим Слейд;None;Holden Commodore ZB;1;1'11.2091;0.6540;0.1739;131.443
9;5;Ли Холдсуорт;None;Ford Mustang GT;1;1'11.4599;0.9048;0.2508;130.982
10;22;Джеймс Кортни;None;Holden Commodore ZB;1;1'11.6551;1.1000;0.1952;130.625
