Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;7;1'01.5620;None;None;170.169
2;23;Уилл Дэвисон;None;Ford Mustang GT;11;1'01.5909;0.0289;0.0289;170.090
3;55;Час Мостер;None;Ford Mustang GT;11;1'01.6314;0.0694;0.0405;169.978
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;10;1'01.6593;0.0973;0.0279;169.901
5;5;Ли Холдсуорт;None;Ford Mustang GT;12;1'01.7362;0.1742;0.0769;169.689
6;17;Скотт Маклафлин;None;Ford Mustang GT;10;1'01.7414;0.1794;0.0052;169.675
7;8;Ник Перкат;None;Holden Commodore ZB;9;1'01.7916;0.2296;0.0502;169.537
8;12;Фабиан Култхард;None;Ford Mustang GT;10;1'01.8654;0.3034;0.0738;169.335
9;18;Марк Винтерботтом;None;Holden Commodore ZB;12;1'01.8762;0.3142;0.0108;169.305
10;6;Кэмерон Уотерс;None;Ford Mustang GT;10;1'01.9078;0.3458;0.0316;169.219
11;35;Тодд Хазелвуд;None;Holden Commodore ZB;10;1'01.9210;0.3590;0.0132;169.183
12;14;Тим Слейд;None;Holden Commodore ZB;10;1'01.9465;0.3845;0.0255;169.113
13;7;Андре Хаймгартнер;None;Nissan Altima;12;1'01.9697;0.4077;0.0232;169.050
14;99;Антон де Паскуале;None;Holden Commodore ZB;12;1'02.0407;0.4787;0.0710;168.856
15;34;Джеймс Голдинг;None;Holden Commodore ZB;11;1'02.0437;0.4817;0.0030;168.848
16;33;Ричи Стэнэвей;None;Holden Commodore ZB;10;1'02.0747;0.5127;0.0310;168.764
17;2;Скотт Пай;None;Holden Commodore ZB;13;1'02.1329;0.5709;0.0582;168.606
18;22;Джеймс Кортни;None;Holden Commodore ZB;11;1'02.2171;0.6551;0.0842;168.378
19;21;Маколи Джонс;None;Holden Commodore ZB;11;1'02.3003;0.7383;0.0832;168.153
20;15;Рик Келли;None;Nissan Altima;11;1'02.3484;0.7864;0.0481;168.023
21;78;Симона де Сильвестро;None;Nissan Altima;11;1'02.4197;0.8577;0.0713;167.831
22;9;Дэвид Рейнольдс;None;Holden Commodore ZB;8;1'02.4999;0.9379;0.0802;167.616
23;3;Гарри Джекобсон;None;Nissan Altima;12;1'02.5196;0.9576;0.0197;167.563
24;19;Джек ЛеБрок;None;Holden Commodore ZB;10;1'02.6650;1.1030;0.1454;167.174
