Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;70;1:19'07.6387;None;None;None;150
2;None;6;Кэмерон Уотерс;None;Ford Mustang GT;70;1:19'20.2879;12.6492;12.6492;None;138
3;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;70;1:19'23.0666;15.4279;2.7787;None;129
4;None;17;Скотт Маклафлин;None;Ford Mustang GT;70;1:19'23.7277;16.0890;0.6611;None;120
5;None;5;Ли Холдсуорт;None;Ford Mustang GT;70;1:19'24.5302;16.8915;0.8025;None;111
6;None;88;Джейми Уинкап;None;Holden Commodore ZB;70;1:19'25.0018;17.3631;0.4716;None;102
7;None;12;Фабиан Култхард;None;Ford Mustang GT;70;1:19'29.0218;21.3831;4.0200;None;96
8;None;7;Андре Хаймгартнер;None;Nissan Altima;70;1:19'29.6345;21.9958;0.6127;None;90
9;None;23;Уилл Дэвисон;None;Ford Mustang GT;70;1:19'32.4611;24.8224;2.8266;None;84
10;None;33;Ричи Стэнэвей;None;Holden Commodore ZB;70;1:19'33.5655;25.9268;1.1044;None;78
11;None;14;Тим Слейд;None;Holden Commodore ZB;70;1:19'34.2993;26.6606;0.7338;None;72
12;None;8;Ник Перкат;None;Holden Commodore ZB;70;1:19'39.4877;31.8490;5.1884;None;69
13;None;2;Скотт Пай;None;Holden Commodore ZB;70;1:19'39.9183;32.2796;0.4306;None;66
14;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;70;1:19'45.4885;37.8498;5.5702;None;63
15;None;99;Антон де Паскуале;None;Holden Commodore ZB;70;1:19'45.9584;38.3197;0.4699;None;60
16;None;78;Симона де Сильвестро;None;Nissan Altima;70;1:19'46.2247;38.5860;0.2663;None;57
17;None;22;Джеймс Кортни;None;Holden Commodore ZB;70;1:19'47.6235;39.9848;1.3988;None;54
18;None;3;Гарри Джекобсон;None;Nissan Altima;70;1:19'49.8172;42.1785;2.1937;None;51
19;None;15;Рик Келли;None;Nissan Altima;70;1:19'54.6694;47.0307;4.8522;None;48
20;None;21;Маколи Джонс;None;Holden Commodore ZB;70;1:20'05.5406;57.9019;10.8712;None;45
21;None;19;Джек ЛеБрок;None;Holden Commodore ZB;69;1:19'21.9992;1 Lap;1 Lap;None;42
22;None;18;Марк Винтерботтом;None;Holden Commodore ZB;65;1:19'56.9295;5 Laps;4 Laps;None;39
23;None;34;Джеймс Голдинг;None;Holden Commodore ZB;60;1:19'52.4997;10 Laps;5 Laps;None;36
24;None;55;Час Мостер;None;Ford Mustang GT;56;1:20'09.3370;14 Laps;4 Laps;None;33
