Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;82;1'11.1968;None;None;149.669
2;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;41;1'11.3777;0.1809;0.1809;149.290
3;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;99;1'11.3913;0.1945;0.0136;149.261
4;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;5;1'11.4688;0.2720;0.0775;149.100
5;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;64;1'11.5142;0.3174;0.0454;149.005
6;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;100;1'11.6748;0.4780;0.1606;148.671
7;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;83;1'11.6795;0.4827;0.0047;148.661
8;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;75;1'11.7956;0.5988;0.1161;148.421
9;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;83;1'11.8203;0.6235;0.0247;148.370
10;15;Рик Келли Дейл Вуд;None;Nissan Altima;78;1'11.8273;0.6305;0.0070;148.355
11;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;68;1'11.8296;0.6328;0.0023;148.351
12;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;84;1'11.8312;0.6344;0.0016;148.347
13;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;77;1'11.8340;0.6372;0.0028;148.342
14;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;70;1'11.8758;0.6790;0.0418;148.255
15;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;78;1'11.8803;0.6835;0.0045;148.246
16;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;65;1'11.9276;0.7308;0.0473;148.148
17;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;43;1'12.0008;0.8040;0.0732;147.998
18;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;73;1'12.0207;0.8239;0.0199;147.957
19;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;46;1'12.0446;0.8478;0.0239;147.908
20;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;9;1'12.0949;0.8981;0.0503;147.805
21;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;68;1'12.1030;0.9062;0.0081;147.788
22;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;41;1'12.1454;0.9486;0.0424;147.701
23;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;84;1'12.2131;1.0163;0.0677;147.563
24;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;38;1'12.5788;1.3820;0.3657;146.819
