Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;14;1'09.9534;None;None;152.329
2;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;17;1'10.0468;0.0934;0.0934;152.126
3;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;16;1'10.0969;0.1435;0.0501;152.018
4;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;15;1'10.1192;0.1658;0.0223;151.969
5;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;16;1'10.1758;0.2224;0.0566;151.847
6;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;16;1'10.2938;0.3404;0.1180;151.592
7;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;18;1'10.3008;0.3474;0.0070;151.577
8;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;13;1'10.3258;0.3724;0.0250;151.523
9;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;14;1'10.3568;0.4034;0.0310;151.456
10;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;18;1'10.3871;0.4337;0.0303;151.391
11;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;19;1'10.5016;0.5482;0.1145;151.145
12;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;11;1'10.5872;0.6338;0.0856;150.962
13;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;14;1'10.5872;0.6338;0.0000;150.962
14;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;15;1'10.7744;0.8210;0.1872;150.562
15;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;15;1'10.8571;0.9037;0.0827;150.387
16;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;12;1'10.9213;0.9679;0.0642;150.251
17;15;Рик Келли Дейл Вуд;None;Nissan Altima;16;1'11.0357;1.0823;0.1144;150.009
18;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;17;1'11.0691;1.1157;0.0334;149.938
19;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;17;1'11.1799;1.2265;0.1108;149.705
20;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;15;1'11.2449;1.2915;0.0650;149.568
21;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;16;1'11.3615;1.4081;0.1166;149.324
22;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;17;1'11.4485;1.4951;0.0870;149.142
23;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;17;1'11.4954;1.5420;0.0469;149.044
24;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;14;1'11.6821;1.7287;0.1867;148.656
25;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;17;1'12.1103;2.1569;0.4282;147.773
