Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;1'10.0786;152.057
2;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;1'10.2581;151.669
3;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;1'10.3074;151.562
4;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;1'10.4147;151.332
5;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;1'10.7223;150.673
6;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;1'10.7531;150.608
7;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;1'10.9595;150.170
8;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;1'11.0335;150.013
9;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;None;None
10;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;None;None
11;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;1'10.7713;150.569
12;15;Рик Келли Дейл Вуд;None;Nissan Altima;1'10.8218;150.462
13;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;1'10.8539;150.393
14;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;1'10.8937;150.309
15;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;1'10.9776;150.131
16;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;1'10.9778;150.131
17;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;1'11.0168;150.049
18;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;1'11.1945;149.674
19;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;1'11.3011;149.450
20;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;1'11.5804;148.867
21;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;1'11.6082;148.809
22;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;1'11.6362;148.751
23;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;1'11.7189;148.580
24;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;1'11.8863;148.234
25;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;1'11.9907;148.019
