Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;11;1'10.4278;None;None;151.303
2;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;8;1'10.4649;0.0371;0.0371;151.224
3;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;9;1'10.5190;0.0912;0.0541;151.108
4;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;8;1'10.5827;0.1549;0.0637;150.971
5;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;10;1'10.5875;0.1597;0.0048;150.961
6;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;10;1'10.6444;0.2166;0.0569;150.839
7;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;10;1'10.6669;0.2391;0.0225;150.791
8;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;11;1'10.6803;0.2525;0.0134;150.763
9;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;9;1'10.7047;0.2769;0.0244;150.711
10;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;9;1'10.7338;0.3060;0.0291;150.649
11;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;9;1'10.7713;0.3435;0.0375;150.569
12;15;Рик Келли Дейл Вуд;None;Nissan Altima;11;1'10.8218;0.3940;0.0505;150.462
13;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;10;1'10.8539;0.4261;0.0321;150.393
14;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;9;1'10.8937;0.4659;0.0398;150.309
15;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;11;1'10.9776;0.5498;0.0839;150.131
16;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;10;1'10.9778;0.5500;0.0002;150.131
17;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;9;1'11.0168;0.5890;0.0390;150.049
18;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;11;1'11.1945;0.7667;0.1777;149.674
19;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;9;1'11.3011;0.8733;0.1066;149.450
20;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;8;1'11.5804;1.1526;0.2793;148.867
21;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;11;1'11.6082;1.1804;0.0278;148.809
22;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;10;1'11.6362;1.2084;0.0280;148.751
23;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;11;1'11.7189;1.2911;0.0827;148.580
24;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;10;1'11.8863;1.4585;0.1674;148.234
25;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;10;1'11.9907;1.5629;0.1044;148.019
