Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;102;-;None;None;None;150
2;None;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;102;0.1746;0.175;0.175;None;138
3;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;102;0.8466;0.847;0.672;None;129
4;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;102;14.1588;14.159;13.312;None;120
5;None;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;102;16.1825;16.183;2.024;None;111
6;None;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;102;26.9807;26.981;10.798;None;102
7;None;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;102;28.2939;28.294;1.313;None;96
8;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;102;43.2944;43.294;15.001;None;90
9;None;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;102;50.7332;50.733;7.439;None;84
10;None;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;102;1'03.5744;1'03.574;12.841;None;78
11;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;102;1'04.5567;1'04.557;0.982;None;72
12;None;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;101;1 lap;None;None;None;69
13;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;101;1 lap;None;None;None;66
14;None;15;Рик Келли Дейл Вуд;None;Nissan Altima;101;1 lap;None;None;None;63
15;None;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;101;1 lap;None;None;None;60
16;None;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;101;1 lap;None;None;None;57
17;None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;100;2 laps;None;None;None;54
18;None;33;Крис Питер Dylan O'Keeffe;None;Holden Commodore ZB;100;2 laps;None;None;None;51
19;None;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;100;2 laps;None;None;None;48
20;None;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;98;4 laps;None;None;None;45
21;None;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;98;4 laps;None;None;None;42
22;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;82;20 laps;None;None;None;39
None;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;1;None;None;None;Сход;None
