Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;1;1'10.0786;None;None;152.057
2;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;1;1'10.2581;0.1795;0.1795;151.669
3;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;1;1'10.3074;0.2288;0.0493;151.562
4;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;1;1'10.4147;0.3361;0.1073;151.332
5;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;1;1'10.7223;0.6437;0.3076;150.673
6;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;1;1'10.7531;0.6745;0.0308;150.608
7;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;1;1'10.9595;0.8809;0.2064;150.170
8;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;1;1'11.0335;0.9549;0.0740;150.013
9;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;0;None;None;None;None
10;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;0;None;None;None;None
