Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;156;1'08.2440;None;None;163.530
2;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;60;1'08.3866;0.1426;0.1426;163.189
3;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;63;1'08.4807;0.2367;0.0941;162.965
4;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;63;1'08.6010;0.3570;0.1203;162.679
5;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;87;1'08.6043;0.3603;0.0033;162.672
6;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;64;1'08.6173;0.3733;0.0130;162.641
7;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;59;1'08.6336;0.3896;0.0163;162.602
8;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;57;1'08.6727;0.4287;0.0391;162.509
9;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;66;1'08.6941;0.4501;0.0214;162.459
10;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;104;1'08.7053;0.4613;0.0112;162.432
11;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;88;1'08.7464;0.5024;0.0411;162.335
12;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;72;1'08.7666;0.5226;0.0202;162.288
13;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;60;1'08.7893;0.5453;0.0227;162.234
14;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;60;1'08.8555;0.6115;0.0662;162.078
15;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;60;1'08.8592;0.6152;0.0037;162.069
16;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;74;1'08.8670;0.6230;0.0078;162.051
17;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;61;1'08.9285;0.6845;0.0615;161.906
18;15;Рик Келли Дейл Вуд;None;Nissan Altima;71;1'09.0073;0.7633;0.0788;161.722
19;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;79;1'09.1192;0.8752;0.1119;161.460
20;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;66;1'09.1409;0.8969;0.0217;161.409
21;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;85;1'09.1597;0.9157;0.0188;161.365
22;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;104;1'09.3157;1.0717;0.1560;161.002
23;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;87;1'09.3311;1.0871;0.0154;160.966
24;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;30;1'09.3820;1.1380;0.0509;160.848
25;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;5;1'09.5678;1.3238;0.1858;160.419
