Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;15;1'08.0361;None;None;164.030
2;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;18;1'08.0922;0.0561;0.0561;163.895
3;15;Рик Келли Дейл Вуд;None;Nissan Altima;17;1'08.1008;0.0647;0.0086;163.874
4;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;16;1'08.1323;0.0962;0.0315;163.798
5;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;17;1'08.1854;0.1493;0.0531;163.671
6;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;18;1'08.2343;0.1982;0.0489;163.554
7;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;18;1'08.3724;0.3363;0.1381;163.223
8;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;17;1'08.4426;0.4065;0.0702;163.056
9;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;17;1'08.4447;0.4086;0.0021;163.051
10;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;22;1'08.4509;0.4148;0.0062;163.036
11;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;19;1'08.4614;0.4253;0.0105;163.011
12;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;16;1'08.4906;0.4545;0.0292;162.942
13;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;15;1'08.5368;0.5007;0.0462;162.832
14;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;12;1'08.5661;0.5300;0.0293;162.762
15;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;17;1'08.5788;0.5427;0.0127;162.732
16;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;17;1'08.6371;0.6010;0.0583;162.594
17;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;14;1'08.6383;0.6022;0.0012;162.591
18;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;15;1'08.6818;0.6457;0.0435;162.488
19;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;17;1'08.6992;0.6631;0.0174;162.447
20;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;12;1'08.6992;0.6631;0.0000;162.447
21;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;15;1'08.8781;0.8420;0.1789;162.025
22;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;16;1'08.9779;0.9418;0.0998;161.790
23;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;14;1'09.2246;1.1885;0.2467;161.214
24;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;17;1'09.4004;1.3643;0.1758;160.805
25;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;13;1'09.6447;1.6086;0.2443;160.241
