Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;161;3:13'09.9976;None;None;None;250
2;None;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;161;3:13'30.6286;20.6310;20.6310;None;230
3;None;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;161;3:13'34.2528;24.2552;3.6242;None;215
4;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;161;3:13'38.9333;28.9357;4.6805;None;200
5;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;161;3:13'50.0894;40.0918;11.1561;None;185
6;None;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;161;3:13'51.3387;41.3411;1.2493;None;170
7;None;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;161;3:13'52.7333;42.7357;1.3946;None;160
8;None;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;161;3:13'55.1391;45.1415;2.4058;None;150
9;None;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;161;3:13'56.8940;46.8964;1.7549;None;140
10;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;161;3:14'02.9094;52.9118;6.0154;None;130
11;None;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;160;3:13'16.8888;1 Lap;1 Lap;None;120
12;None;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;160;3:13'20.6435;1 Lap;3.7547;None;115
13;None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;160;3:13'29.2399;1 Lap;8.5964;None;110
14;None;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;160;3:13'36.7720;1 Lap;7.5321;None;105
15;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;160;3:13'44.6183;1 Lap;7.8463;None;100
16;None;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;160;3:13'57.2875;1 Lap;12.6692;None;95
17;None;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;159;3:13'39.1687;2 Laps;1 Lap;None;90
18;None;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;159;3:13'56.0383;2 Laps;16.8696;None;85
19;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;159;3:14'06.7680;2 Laps;10.7297;None;80
20;None;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;148;3:13'11.5439;13 Laps;11 Laps;None;75
21;None;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;145;3:13'28.7582;16 Laps;3 Laps;None;70
22;None;15;Рик Келли Дейл Вуд;None;Nissan Altima;128;3:13'28.4136;33 Laps;17 Laps;None;65
None;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;155;3:11'41.6069;6 Laps;None;Сход;None
None;None;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;144;3:00'41.5136;17 Laps;11 Laps;Сход;None
None;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;30;35'58.6087;131 Laps;114 Laps;Сход;None
