Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;6;Кэмерон Уотерс;None;Ford Mustang GT;8;1'49.4054;None;None;162.880
2;23;Уилл Дэвисон;None;Ford Mustang GT;12;1'49.5212;0.1158;0.1158;162.708
3;9;Дэвид Рейнольдс;None;Holden Commodore ZB;8;1'49.5218;0.1164;0.0006;162.707
4;22;Джеймс Кортни;None;Holden Commodore ZB;25;1'49.5742;0.1688;0.0524;162.629
5;17;Скотт Маклафлин;None;Ford Mustang GT;11;1'49.5899;0.1845;0.0157;162.606
6;55;Час Мостер;None;Ford Mustang GT;16;1'49.6336;0.2282;0.0437;162.541
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;17;1'49.6671;0.2617;0.0335;162.491
8;5;Ли Холдсуорт;None;Ford Mustang GT;10;1'49.7473;0.3419;0.0802;162.373
9;88;Джейми Уинкап;None;Holden Commodore ZB;13;1'49.9279;0.5225;0.1806;162.106
10;12;Фабиан Култхард;None;Ford Mustang GT;7;1'49.9898;0.5844;0.0619;162.015
11;7;Андре Хаймгартнер;None;Nissan Altima;8;1'49.9977;0.5923;0.0079;162.003
12;8;Ник Перкат;None;Holden Commodore ZB;20;1'50.1238;0.7184;0.1261;161.817
13;99;Антон де Паскуале;None;Holden Commodore ZB;18;1'50.1249;0.7195;0.0011;161.816
14;34;Джеймс Голдинг;None;Holden Commodore ZB;28;1'50.1728;0.7674;0.0479;161.745
15;14;Тим Слейд;None;Holden Commodore ZB;23;1'50.1729;0.7675;0.0001;161.745
16;2;Скотт Пай;None;Holden Commodore ZB;27;1'50.2089;0.8035;0.0360;161.692
17;15;Рик Келли;None;Nissan Altima;13;1'50.2560;0.8506;0.0471;161.623
18;66;Томас Рэндл;None;Ford Mustang GT;25;1'50.3460;0.9406;0.0900;161.492
19;18;Марк Винтерботтом;None;Holden Commodore ZB;7;1'50.4025;0.9971;0.0565;161.409
20;78;Симона де Сильвестро;None;Nissan Altima;24;1'50.4114;1.0060;0.0089;161.396
21;21;Маколи Джонс;None;Holden Commodore ZB;11;1'50.4387;1.0333;0.0273;161.356
22;3;Гарри Джекобсон;None;Nissan Altima;22;1'50.5258;1.1204;0.0871;161.229
23;35;Тодд Хазелвуд;None;Holden Commodore ZB;22;1'50.5898;1.1844;0.0640;161.136
24;33;Ричи Стэнэвей;None;Holden Commodore ZB;7;1'50.7160;1.3106;0.1262;160.952
25;19;Джек ЛеБрок;None;Holden Commodore ZB;9;1'50.8436;1.4382;0.1276;160.767
26;4;Джек Смит;None;Holden Commodore ZB;10;1'51.1728;1.7674;0.3292;160.291
