Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;13;1'13.7448;None;None;139.616
2;333;Фабиан Култхард;None;Ford Mustang GT;14;1'13.7513;0.0065;0.0065;139.604
3;88;Джейми Уинкап;None;Holden Commodore ZB;13;1'13.9413;0.1965;0.1900;139.245
4;9;Дэвид Рейнольдс;None;Holden Commodore ZB;10;1'13.9944;0.2496;0.0531;139.145
5;55;Час Мостер;None;Ford Mustang GT;13;1'14.0643;0.3195;0.0699;139.014
6;97;Шейн ван Гисберген;None;Holden Commodore ZB;13;1'14.1603;0.4155;0.0960;138.834
7;23;Уилл Дэвисон;None;Ford Mustang GT;13;1'14.1908;0.4460;0.0305;138.777
8;6;Кэмерон Уотерс;None;Ford Mustang GT;13;1'14.1965;0.4517;0.0057;138.766
9;14;Тим Слейд;None;Holden Commodore ZB;12;1'14.1985;0.4537;0.0020;138.762
10;7;Андре Хаймгартнер;None;Nissan Altima;14;1'14.4340;0.6892;0.2355;138.323
11;5;Ли Холдсуорт;None;Ford Mustang GT;15;1'14.4660;0.7212;0.0320;138.264
12;100;Рик Келли;None;Nissan Altima;14;1'14.4780;0.7332;0.0120;138.242
13;35;Тодд Хазелвуд;None;Holden Commodore ZB;14;1'14.5016;0.7568;0.0236;138.198
14;8;Ник Перкат;None;Holden Commodore ZB;13;1'14.5025;0.7577;0.0009;138.196
15;34;Джеймс Голдинг;None;Holden Commodore ZB;13;1'14.5145;0.7697;0.0120;138.174
16;99;Антон де Паскуале;None;Holden Commodore ZB;13;1'14.5368;0.7920;0.0223;138.133
17;2;Скотт Пай;None;Holden Commodore ZB;14;1'14.6096;0.8648;0.0728;137.998
18;33;Майкл Карузо;None;Holden Commodore ZB;13;1'14.6835;0.9387;0.0739;137.861
19;18;Марк Винтерботтом;None;Holden Commodore ZB;14;1'14.6936;0.9488;0.0101;137.843
20;21;Маколи Джонс;None;Holden Commodore ZB;13;1'14.7715;1.0267;0.0779;137.699
21;22;Джеймс Кортни;None;Holden Commodore ZB;12;1'14.8043;1.0595;0.0328;137.639
22;3;Гарри Джекобсон;None;Nissan Altima;13;1'14.9082;1.1634;0.1039;137.448
23;19;Джек ЛеБрок;None;Holden Commodore ZB;13;1'14.9509;1.2061;0.0427;137.369
24;78;Симона де Сильвестро;None;Nissan Altima;14;1'15.0812;1.3364;0.1303;137.131
