Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;12;Фабиан Култхард;None;Ford Mustang GT;12;1'30.1807;None;None;177.443
2;17;Скотт Маклафлин;None;Ford Mustang GT;10;1'30.1867;0.0060;0.0060;177.431
3;6;Кэмерон Уотерс;None;Ford Mustang GT;11;1'30.4468;0.2661;0.2601;176.921
4;15;Рик Келли;None;Nissan Altima L33;11;1'30.6026;0.4219;0.1558;176.617
5;23;Уилл Дэвисон;None;Ford Mustang GT;12;1'30.6405;0.4598;0.0379;176.543
6;5;Ли Холдсуорт;None;Ford Mustang GT;11;1'30.8024;0.6217;0.1619;176.228
7;99;Антон де Паскуале;None;Holden Commodore ZB;14;1'30.8264;0.6457;0.0240;176.182
8;35;Тодд Хазелвуд;None;Holden Commodore ZB;13;1'30.8693;0.6886;0.0429;176.099
9;55;Час Мостер;None;Ford Mustang GT;12;1'30.9034;0.7227;0.0341;176.033
10;97;Шейн ван Гисберген;None;Holden Commodore ZB;11;1'30.9338;0.7531;0.0304;175.974
11;88;Джейми Уинкап;None;Holden Commodore ZB;12;1'30.9440;0.7633;0.0102;175.954
12;8;Ник Перкат;None;Holden Commodore ZB;8;1'30.9674;0.7867;0.0234;175.909
13;7;Андре Хаймгартнер;None;Nissan Altima L33;13;1'31.0118;0.8311;0.0444;175.823
14;9;Дэвид Рейнольдс;None;Holden Commodore ZB;13;1'31.1263;0.9456;0.1145;175.602
15;14;Тим Слейд;None;Holden Commodore ZB;11;1'31.2940;1.1133;0.1677;175.279
16;200;Скотт Пай;None;Holden Commodore ZB;11;1'31.4111;1.2304;0.1171;175.055
17;34;Джеймс Голдинг;None;Holden Commodore ZB;13;1'31.5295;1.3488;0.1184;174.828
18;18;Марк Винтерботтом;None;Holden Commodore ZB;10;1'31.5776;1.3969;0.0481;174.737
19;3;Гарри Джекобсон;None;Nissan Altima L33;11;1'31.6538;1.4731;0.0762;174.591
20;22;Джеймс Кортни;None;Holden Commodore ZB;13;1'31.7471;1.5664;0.0933;174.414
21;33;Ричи Стэнэвей;None;Holden Commodore ZB;12;1'31.7893;1.6086;0.0422;174.334
22;19;Джек ЛеБрок;None;Holden Commodore ZB;13;1'31.7934;1.6127;0.0041;174.326
23;78;Симона де Сильвестро;None;Nissan Altima L33;14;1'31.8609;1.6802;0.0675;174.198
24;21;Маколи Джонс;None;Holden Commodore ZB;9;1'33.0155;2.8348;1.1546;172.035
