Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'29.5421;178.709
2;12;Фабиан Култхард;None;Ford Mustang GT;1'30.1787;177.447
3;55;Час Мостер;None;Ford Mustang GT;1'30.2771;177.254
4;99;Антон де Паскуале;None;Holden Commodore ZB;1'30.2774;177.253
5;6;Кэмерон Уотерс;None;Ford Mustang GT;1'30.3536;177.104
6;23;Уилл Дэвисон;None;Ford Mustang GT;1'30.3807;177.051
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'30.5526;176.714
8;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'30.6512;176.522
9;22;Джеймс Кортни;None;Holden Commodore ZB;1'30.7925;176.248
10;88;Джейми Уинкап;None;Holden Commodore ZB;1'30.8482;176.139
11;15;Рик Келли;None;Nissan Altima L33;1'30.9520;175.938
12;8;Ник Перкат;None;Holden Commodore ZB;1'31.0314;175.785
13;7;Андре Хаймгартнер;None;Nissan Altima L33;1'31.2478;175.368
14;34;Джеймс Голдинг;None;Holden Commodore ZB;1'31.4622;174.957
15;200;Скотт Пай;None;Holden Commodore ZB;1'31.0300;175.788
16;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'31.0909;175.670
17;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'31.1056;175.642
18;5;Ли Холдсуорт;None;Ford Mustang GT;1'31.2861;175.295
19;18;Марк Винтерботтом;None;Holden Commodore ZB;1'31.3860;175.103
20;14;Тим Слейд;None;Holden Commodore ZB;1'31.5040;174.877
21;3;Гарри Джекобсон;None;Nissan Altima L33;1'31.5159;174.854
22;21;Маколи Джонс;None;Holden Commodore ZB;1'31.6205;174.655
23;78;Симона де Сильвестро;None;Nissan Altima L33;1'31.7594;174.390
24;19;Джек ЛеБрок;None;Holden Commodore ZB;1'31.8194;174.276
