Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;7;1'29.2292;None;None;179.335
2;12;Фабиан Култхард;None;Ford Mustang GT;9;1'29.8114;0.5822;0.5822;178.173
3;55;Час Мостер;None;Ford Mustang GT;7;1'30.1031;0.8739;0.2917;177.596
4;7;Андре Хаймгартнер;None;Nissan Altima L33;10;1'30.1429;0.9137;0.0398;177.518
5;23;Уилл Дэвисон;None;Ford Mustang GT;8;1'30.2857;1.0565;0.1428;177.237
6;15;Рик Келли;None;Nissan Altima L33;7;1'30.3020;1.0728;0.0163;177.205
7;6;Кэмерон Уотерс;None;Ford Mustang GT;8;1'30.4441;1.2149;0.1421;176.926
8;200;Скотт Пай;None;Holden Commodore ZB;13;1'30.4899;1.2607;0.0458;176.837
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;7;1'30.6059;1.3767;0.1160;176.611
10;35;Тодд Хазелвуд;None;Holden Commodore ZB;7;1'30.6662;1.4370;0.0603;176.493
