Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;6;1'19.8362;None;None;145.197
2;6;Кэмерон Уотерс;None;Ford Mustang GT;6;1'19.8799;0.0437;0.0437;145.117
3;17;Скотт Маклафлин;None;Ford Mustang GT;7;1'19.9649;0.1287;0.0850;144.963
4;23;Уилл Дэвисон;None;Ford Mustang GT;6;1'19.9929;0.1567;0.0280;144.912
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;6;1'20.0053;0.1691;0.0124;144.890
6;5;Ли Холдсуорт;None;Ford Mustang GT;12;1'20.0938;0.2576;0.0885;144.730
7;25;Час Мостер;None;Holden Commodore ZB;6;1'20.1343;0.2981;0.0405;144.657
8;12;Фабиан Култхард;None;Ford Mustang GT;13;1'20.2517;0.4155;0.1174;144.445
9;15;Рик Келли;None;Ford Mustang GT;12;1'20.3394;0.5032;0.0877;144.287
10;99;Антон де Паскуале;None;Holden Commodore ZB;5;1'20.4355;0.5993;0.0961;144.115
11;55;Джек ЛеБрок;None;Ford Mustang GT;10;1'20.7792;0.9430;0.3437;143.502
12;18;Марк Винтерботтом;None;Holden Commodore ZB;5;1'20.8027;0.9665;0.0235;143.460
13;8;Ник Перкат;None;Holden Commodore ZB;6;1'20.8803;1.0441;0.0776;143.322
14;14;Тодд Хазелвуд;None;Holden Commodore ZB;6;1'20.6711;0.8349;None;143.694
15;20;Скотт Пай;None;Holden Commodore ZB;7;1'20.7009;0.8647;0.0298;143.641
16;2;Брайс Фуллвуд;None;Holden Commodore ZB;7;1'20.9251;1.0889;0.2242;143.243
17;3;Маколи Джонс;None;Holden Commodore ZB;5;1'21.0040;1.1678;0.0789;143.104
18;7;Андре Хаймгартнер;None;Ford Mustang GT;6;1'21.0948;1.2586;0.0908;142.943
19;35;Гарри Джекобсон;None;Holden Commodore ZB;7;1'21.0986;1.2624;0.0038;142.937
20;34;Зейн Годдард;None;Holden Commodore ZB;6;1'21.1765;1.3403;0.0779;142.799
21;19;Джеймс Кортни;None;Holden Commodore ZB;5;1'21.3262;1.4900;0.1497;142.537
22;22;Крис Питер;None;Holden Commodore ZB;6;1'21.6568;1.8206;0.3306;141.960
23;9;Дэвид Рейнольдс;None;Holden Commodore ZB;2;None;None;None;None
24;4;Джек Смит;None;Holden Commodore ZB;1;None;None;None;None
