Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;99;Антон де Паскуале;None;Holden Commodore ZB;8;1'56.6379;None;None;163.675
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;8;1'56.9238;0.2859;0.2859;163.275
3;15;Рик Келли;None;Ford Mustang GT;7;1'56.9432;0.3053;0.0194;163.248
4;88;Джейми Уинкап;None;Holden Commodore ZB;13;1'57.0229;0.3850;0.0797;163.137
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;9;1'57.0507;0.4128;0.0278;163.098
6;23;Уилл Дэвисон;None;Ford Mustang GT;7;1'57.1683;0.5304;0.1176;162.934
7;18;Марк Винтерботтом;None;Holden Commodore ZB;8;1'57.1741;0.5362;0.0058;162.926
8;55;Джек ЛеБрок;None;Ford Mustang GT;7;1'57.5800;0.9421;0.4059;162.364
9;5;Ли Холдсуорт;None;Ford Mustang GT;9;1'57.7462;1.1083;0.1662;162.135
10;6;Кэмерон Уотерс;None;Ford Mustang GT;10;1'57.7855;1.1476;0.0393;162.081
11;17;Скотт Маклафлин;None;Ford Mustang GT;9;1'57.7882;1.1503;0.0027;162.077
12;2;Брайс Фуллвуд;None;Holden Commodore ZB;6;1'57.7928;1.1549;0.0046;162.071
13;25;Час Мостер;None;Holden Commodore ZB;8;1'57.9010;1.2631;0.1082;161.922
14;34;Джейк Костеки;None;Holden Commodore ZB;10;1'57.9205;1.2826;0.0195;161.895
15;19;Алекс Дэвисон;None;Holden Commodore ZB;11;1'58.2910;1.6531;0.3705;161.388
16;8;Ник Перкат;None;Holden Commodore ZB;8;1'58.4426;1.8047;0.1516;161.181
17;14;Тодд Хазелвуд;None;Holden Commodore ZB;7;1'58.7261;2.0882;0.2835;160.796
18;35;Гарри Джекобсон;None;Holden Commodore ZB;8;1'59.0015;2.3636;0.2754;160.424
19;4;Джек Смит;None;Holden Commodore ZB;10;1'59.8233;3.1854;0.8218;159.324
20;20;Скотт Пай;None;Holden Commodore ZB;7;1'59.8473;3.2094;0.0240;159.292
21;12;Фабиан Култхард;None;Ford Mustang GT;8;2'00.5744;3.9365;0.7271;158.332
22;22;Крис Питер;None;Holden Commodore ZB;10;2'01.1604;4.5225;0.5860;157.566
23;7;Андре Хаймгартнер;None;Ford Mustang GT;5;4'37.6102;2'40.9723;2'36.4498;68.768
24;3;Маколи Джонс;None;Holden Commodore ZB;7;7'19.7633;5'23.1254;2'42.1531;43.411
