Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;2;1'55.2240;None;None;165.684
2;88;Джейми Уинкап;None;Holden Commodore ZB;2;1'55.3130;0.0890;0.0890;165.556
3;23;Уилл Дэвисон;None;Ford Mustang GT;2;1'55.3181;0.0941;0.0051;165.549
4;17;Скотт Маклафлин;None;Ford Mustang GT;2;1'55.4367;0.2127;0.1186;165.378
5;7;Андре Хаймгартнер;None;Ford Mustang GT;2;1'55.5335;0.3095;0.0968;165.240
6;99;Антон де Паскуале;None;Holden Commodore ZB;2;1'55.5721;0.3481;0.0386;165.185
7;8;Ник Перкат;None;Holden Commodore ZB;2;1'55.6892;0.4652;0.1171;165.017
8;6;Кэмерон Уотерс;None;Ford Mustang GT;2;1'55.7810;0.5570;0.0918;164.887
9;5;Ли Холдсуорт;None;Ford Mustang GT;2;1'55.7843;0.5603;0.0033;164.882
10;25;Час Мостер;None;Holden Commodore ZB;2;1'55.8229;0.5989;0.0386;164.827
11;18;Марк Винтерботтом;None;Holden Commodore ZB;2;1'55.8601;0.6361;0.0372;164.774
12;12;Фабиан Култхард;None;Ford Mustang GT;2;1'55.9562;0.7322;0.0961;164.638
13;15;Рик Келли;None;Ford Mustang GT;2;1'55.9580;0.7340;0.0018;164.635
14;20;Скотт Пай;None;Holden Commodore ZB;2;1'56.0515;0.8275;0.0935;164.502
15;55;Джек ЛеБрок;None;Ford Mustang GT;2;1'56.1348;0.9108;0.0833;164.384
16;14;Тодд Хазелвуд;None;Holden Commodore ZB;2;1'56.4387;1.2147;0.3039;163.955
17;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'56.4631;1.2391;0.0244;163.921
18;22;Крис Питер;None;Holden Commodore ZB;3;1'56.6115;1.3875;0.1484;163.712
19;35;Гарри Джекобсон;None;Holden Commodore ZB;2;1'56.8065;1.5825;0.1950;163.439
20;19;Алекс Дэвисон;None;Holden Commodore ZB;3;1'56.8568;1.6328;0.0503;163.369
21;2;Брайс Фуллвуд;None;Holden Commodore ZB;3;1'57.3218;2.0978;0.4650;162.721
22;4;Джек Смит;None;Holden Commodore ZB;2;1'57.5215;2.2975;0.1997;162.445
23;34;Джейк Костеки;None;Holden Commodore ZB;2;None;None;None;None
