Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Брайс Фуллвуд Курт Костеки;None;Mobil 1™ Middy's Racing;Holden Commodore ZB;Holden V8-5;Dunlop
3;Маколи Джонс Тим Бланкард;None;Team Cooldrive;Holden Commodore ZB;Holden V8-5;Dunlop
4;Джек Смит Джек Перкинс;None;SCT Logistics Racing;Holden Commodore ZB;Holden V8-5;Dunlop
5;Ли Холдсуорт Майкл Карузо;None;Truck Assist Racing;Ford Mustang GT;Ford V8-5;Dunlop
6;Кэмерон Уотерс Уилл Дэвисон;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
7;Андре Хаймгартнер Dylan O'Keeffe;None;NED Racing;Ford Mustang GT;Ford V8-5;Dunlop
8;Ник Перкат Томас Рэндл;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Дэвид Рейнольдс Уилл Браун;None;Penrite Racing;Holden Commodore ZB;Holden V8-5;Dunlop
12;Фабиан Култхард Тони Д'Альберто;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
14;Тодд Хазелвуд Jordan Boys;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
15;Рик Келли Дейл Вуд;None;Castrol Racing;Ford Mustang GT;Ford V8-5;Dunlop
17;Скотт Маклафлин Тим Слейд;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
18;Марк Винтерботтом Джеймс Голдинг;None;Irwin Racing;Holden Commodore ZB;Holden V8-5;Dunlop
19;Алекс Дэвисон Джонатон Уэбб;None;Team Sydney;Holden Commodore ZB;Holden V8-5;Dunlop
20;Скотт Пай Дин Фьоре;None;Team 18;Holden Commodore ZB;Holden V8-5;Dunlop
22;Крис Питер Steven Owen;None;Team Sydney;Holden Commodore ZB;Holden V8-5;Dunlop
25;Час Мостер Уоррен Лафф;None;Mobil 1™ Appliances Online Racing;Holden Commodore ZB;Holden V8-5;Dunlop
34;Джейк Костеки Зейн Годдард;None;Unit Racing;Holden Commodore ZB;Holden V8-5;Dunlop
35;Гарри Джекобсон Дэвид Расселл;None;Matt Stone Racing;Holden Commodore ZB;Holden V8-5;Dunlop
40;Tyler Everingham Jayden Ojeda;None;Garry Rogers Motorsport;Holden Commodore ZB;Holden V8-5;Dunlop
44;Джеймс Кортни Broc Feeney;None;Boost Mobile Racing;Ford Mustang GT;Ford V8-5;Dunlop
55;Джек ЛеБрок Джеймс Моффат;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
97;Шейн ван Гисберген Гарт Тандер;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
99;Антон де Паскуале Brodie Kostecki;None;Penrite Racing;Holden Commodore ZB;Holden V8-5;Dunlop
888;Джейми Уинкап Крэг Лаундес;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
