Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;9;Дэвид Рейнольдс;None;Holden Commodore ZB;15;1'30.3394;None;None;155.613
2;8;Ник Перкат;None;Holden Commodore ZB;2;1'30.6972;0.3578;0.3578;154.999
3;25;Час Мостер;None;Holden Commodore ZB;13;1'30.8184;0.4790;0.1212;154.792
4;2;Брайс Фуллвуд;None;Holden Commodore ZB;11;1'30.9476;0.6082;0.1292;154.572
5;88;Джейми Уинкап;None;Holden Commodore ZB;2;1'31.1963;0.8569;0.2487;154.150
6;44;Джеймс Кортни;None;Ford Mustang GT;20;1'31.2131;0.8737;0.0168;154.122
7;22;Крис Питер;None;Holden Commodore ZB;11;1'31.2371;0.8977;0.0240;154.082
8;17;Скотт Маклафлин;None;Ford Mustang GT;2;1'31.2568;0.9174;0.0197;154.048
9;20;Скотт Пай;None;Holden Commodore ZB;12;1'31.2975;0.9581;0.0407;153.980
10;6;Кэмерон Уотерс;None;Ford Mustang GT;15;1'31.3504;1.0110;0.0529;153.890
11;7;Андре Хаймгартнер;None;Ford Mustang GT;14;1'31.3983;1.0589;0.0479;153.810
12;18;Марк Винтерботтом;None;Holden Commodore ZB;16;1'31.4368;1.0974;0.0385;153.745
13;12;Фабиан Култхард;None;Ford Mustang GT;13;1'31.5862;1.2468;0.1494;153.494
14;19;Алекс Дэвисон;None;Holden Commodore ZB;20;1'31.6422;1.3028;0.0560;153.400
15;97;Шейн ван Гисберген;None;Holden Commodore ZB;13;1'31.7532;1.4138;0.1110;153.215
16;4;Джек Смит;None;Holden Commodore ZB;14;1'31.8514;1.5120;0.0982;153.051
17;55;Джек ЛеБрок;None;Ford Mustang GT;3;1'31.9538;1.6144;0.1024;152.881
18;15;Рик Келли;None;Ford Mustang GT;14;1'32.0332;1.6938;0.0794;152.749
19;3;Маколи Джонс;None;Holden Commodore ZB;14;1'32.0519;1.7125;0.0187;152.718
20;5;Ли Холдсуорт;None;Ford Mustang GT;17;1'32.1379;1.7985;0.0860;152.575
21;99;Антон де Паскуале;None;Holden Commodore ZB;2;1'32.2662;1.9268;0.1283;152.363
22;34;Джейк Костеки;None;Holden Commodore ZB;14;1'32.3198;1.9804;0.0536;152.275
23;14;Тодд Хазелвуд;None;Holden Commodore ZB;14;1'32.3497;2.0103;0.0299;152.225
24;35;Гарри Джекобсон;None;Holden Commodore ZB;5;1'32.4635;2.1241;0.1138;152.038
