Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Mustang GT;32;49'59.5855;None;None;None;100
2;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;32;49'59.7732;0.1877;0.1877;None;92
3;None;88;Джейми Уинкап;None;Holden Commodore ZB;32;50'09.3607;9.7752;9.5875;None;86
4;None;25;Час Мостер;None;Holden Commodore ZB;32;50'10.6615;11.0760;1.3008;None;80
5;None;8;Ник Перкат;None;Holden Commodore ZB;32;50'27.9140;28.3285;17.2525;None;74
6;None;6;Кэмерон Уотерс;None;Ford Mustang GT;32;50'30.3843;30.7988;2.4703;None;68
7;None;5;Ли Холдсуорт;None;Ford Mustang GT;32;50'31.3409;31.7554;0.9566;None;64
8;None;99;Антон де Паскуале;None;Holden Commodore ZB;32;50'31.3694;31.7839;0.0285;None;60
9;None;18;Марк Винтерботтом;None;Holden Commodore ZB;32;50'32.2561;32.6706;0.8867;None;56
10;None;12;Фабиан Култхард;None;Ford Mustang GT;32;50'34.8243;35.2388;2.5682;None;52
11;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;32;50'35.8663;36.2808;1.0420;None;48
12;None;44;Джеймс Кортни;None;Ford Mustang GT;32;50'43.5664;43.9809;7.7001;None;46
13;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;32;50'43.5756;43.9901;0.0092;None;44
14;None;15;Рик Келли;None;Ford Mustang GT;32;50'47.8688;48.2833;4.2932;None;42
15;None;7;Андре Хаймгартнер;None;Ford Mustang GT;32;50'48.0248;48.4393;0.1560;None;40
16;None;35;Гарри Джекобсон;None;Holden Commodore ZB;32;50'50.4299;50.8444;2.4051;None;38
17;None;20;Скотт Пай;None;Holden Commodore ZB;32;50'50.6451;51.0596;0.2152;None;36
18;None;3;Маколи Джонс;None;Holden Commodore ZB;32;50'50.9954;51.4099;0.3503;None;34
19;None;55;Джек ЛеБрок;None;Ford Mustang GT;32;50'51.4746;51.8891;0.4792;None;32
20;None;22;Крис Питер;None;Holden Commodore ZB;32;51'01.6210;1'02.0355;10.1464;None;30
21;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;32;51'21.9690;1'22.3835;20.3480;None;28
22;None;34;Джейк Костеки;None;Holden Commodore ZB;32;51'23.7564;1'24.1709;1.7874;None;26
23;None;4;Джек Смит;None;Holden Commodore ZB;31;50'02.0886;1 Lap;1 Lap;None;24
None;None;19;Алекс Дэвисон;None;Holden Commodore ZB;12;19'05.6285;20 Laps;19 Laps;Сход;None
