Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;10;1'48.1215;None;None;164.814
2;2;Брайс Фуллвуд;None;Holden Commodore ZB;7;1'48.2581;0.1366;0.1366;164.606
3;6;Кэмерон Уотерс;None;Ford Mustang GT;10;1'48.5444;0.4229;0.2863;164.172
4;5;Ли Холдсуорт;None;Ford Mustang GT;12;1'48.6259;0.5044;0.0815;164.049
5;7;Андре Хаймгартнер;None;Ford Mustang GT;10;1'48.7133;0.5918;0.0874;163.917
6;99;Антон де Паскуале;None;Holden Commodore ZB;9;1'48.7538;0.6323;0.0405;163.856
7;17;Скотт Маклафлин;None;Ford Mustang GT;9;1'48.7667;0.6452;0.0129;163.836
8;55;Джек ЛеБрок;None;Ford Mustang GT;11;1'48.8199;0.6984;0.0532;163.756
9;8;Ник Перкат;None;Holden Commodore ZB;10;1'48.9026;0.7811;0.0827;163.632
10;35;Гарри Джекобсон;None;Holden Commodore ZB;9;1'49.1086;0.9871;0.2060;163.323
11;18;Марк Винтерботтом;None;Holden Commodore ZB;9;1'49.1298;1.0083;0.0212;163.291
12;9;Дэвид Рейнольдс;None;Holden Commodore ZB;10;1'49.2519;1.1304;0.1221;163.109
13;12;Фабиан Култхард;None;Ford Mustang GT;10;1'49.2970;1.1755;0.0451;163.041
14;25;Час Мостер;None;Holden Commodore ZB;11;1'49.4338;1.3123;0.1368;162.838
15;15;Рик Келли;None;Ford Mustang GT;11;1'49.4389;1.3174;0.0051;162.830
16;22;Крис Питер;None;Holden Commodore ZB;9;1'49.5257;1.4042;0.0868;162.701
17;44;Джеймс Кортни;None;Ford Mustang GT;10;1'49.5565;1.4350;0.0308;162.655
18;20;Скотт Пай;None;Holden Commodore ZB;11;1'49.6005;1.4790;0.0440;162.590
19;14;Тодд Хазелвуд;None;Holden Commodore ZB;7;1'49.6761;1.5546;0.0756;162.478
20;88;Джейми Уинкап;None;Holden Commodore ZB;10;1'49.8446;1.7231;0.1685;162.229
21;34;Зейн Годдард;None;Holden Commodore ZB;11;1'49.9826;1.8611;0.1380;162.025
22;3;Маколи Джонс;None;Holden Commodore ZB;10;1'50.1100;1.9885;0.1274;161.838
23;4;Джек Смит;None;Holden Commodore ZB;11;1'50.2687;2.1472;0.1587;161.605
24;19;Алекс Дэвисон;None;Holden Commodore ZB;11;1'50.9876;2.8661;0.7189;160.558
