Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;3;1'48.0725;None;None;164.889
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;3;1'48.1420;0.0695;0.0695;164.783
3;25;Час Мостер;None;Holden Commodore ZB;4;1'48.2050;0.1325;0.0630;164.687
4;12;Фабиан Култхард;None;Ford Mustang GT;4;1'48.4860;0.4135;0.2810;164.260
5;7;Андре Хаймгартнер;None;Ford Mustang GT;3;1'48.6427;0.5702;0.1567;164.023
6;6;Кэмерон Уотерс;None;Ford Mustang GT;4;1'48.6880;0.6155;0.0453;163.955
7;99;Антон де Паскуале;None;Holden Commodore ZB;3;1'48.6988;0.6263;0.0108;163.939
8;15;Рик Келли;None;Ford Mustang GT;3;1'48.7309;0.6584;0.0321;163.890
9;5;Ли Холдсуорт;None;Ford Mustang GT;4;1'48.7776;0.7051;0.0467;163.820
10;8;Ник Перкат;None;Holden Commodore ZB;3;1'48.7792;0.7067;0.0016;163.818
11;88;Джейми Уинкап;None;Holden Commodore ZB;4;1'48.8074;0.7349;0.0282;163.775
12;14;Тодд Хазелвуд;None;Holden Commodore ZB;3;1'48.8434;0.7709;0.0360;163.721
13;3;Маколи Джонс;None;Holden Commodore ZB;3;1'48.8670;0.7945;0.0236;163.685
14;55;Джек ЛеБрок;None;Ford Mustang GT;4;1'48.8766;0.8041;0.0096;163.671
15;18;Марк Винтерботтом;None;Holden Commodore ZB;3;1'48.9288;0.8563;0.0522;163.593
16;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'49.0495;0.9770;0.1207;163.412
17;35;Гарри Джекобсон;None;Holden Commodore ZB;3;1'49.0708;0.9983;0.0213;163.380
18;2;Брайс Фуллвуд;None;Holden Commodore ZB;4;1'49.2300;1.1575;0.1592;163.141
19;34;Зейн Годдард;None;Holden Commodore ZB;3;1'49.2553;1.1828;0.0253;163.104
20;20;Скотт Пай;None;Holden Commodore ZB;2;1'49.2992;1.2267;0.0439;163.038
21;22;Крис Питер;None;Holden Commodore ZB;2;1'49.4590;1.3865;0.1598;162.800
22;19;Алекс Дэвисон;None;Holden Commodore ZB;2;1'49.7069;1.6344;0.2479;162.432
23;4;Джек Смит;None;Holden Commodore ZB;3;1'49.8599;1.7874;0.1530;162.206
24;44;Джеймс Кортни;None;Ford Mustang GT;3;1'53.8467;5.7742;3.9868;156.526
